time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.001000,-0.2742,1.2638,-3.1011,3.360
0.002000,-0.0279,1.3245,-3.1900,3.454
0.002000,0.1905,1.2682,-3.2441,3.488
0.006000,0.3350,1.1436,-3.1151,3.335
0.015000,0.3882,0.9936,-2.7624,2.961
0.016000,0.3580,0.8445,-2.1861,2.371
0.020000,0.1994,0.7114,-1.3572,1.545
0.024000,-0.0262,0.6090,-0.5028,0.790
0.029000,-0.2388,0.4562,0.2176,0.559
0.035000,-0.5427,0.3343,0.7709,1.000
0.039000,-0.7922,0.2033,1.1316,1.396
0.045000,-0.9256,0.0890,1.2329,1.544
0.049000,-0.9957,-0.0069,1.1064,1.488
0.054000,-1.0028,-0.0339,0.8142,1.292
0.059000,-0.9405,-0.0006,0.3730,1.012
0.065000,-0.8401,0.0939,-0.0596,0.847
0.069000,-0.7695,0.2389,-0.3886,0.895
0.074000,-0.8292,0.3329,-0.6525,1.106
0.079000,-0.9233,0.4249,-0.8112,1.300
0.084000,-0.9990,0.4004,-0.8744,1.387
0.088000,-1.0201,0.3680,-0.8065,1.351
0.109000,-0.9980,0.3447,-0.6459,1.238
0.110000,-0.9499,0.2969,-0.3090,1.042
0.111000,-1.0095,0.3340,0.0798,1.066
0.114000,-1.0038,0.2617,0.3892,1.108
0.114000,-1.0372,0.2206,0.7248,1.284
0.136000,-1.1020,0.0977,0.9480,1.457
0.136000,-1.1785,-0.0237,1.0353,1.569
0.137000,-1.3202,-0.1157,0.9392,1.624
0.137000,-1.4418,-0.1185,0.7600,1.634
0.137000,-1.5633,-0.1137,0.4954,1.644
0.147000,-1.6470,-0.0963,0.2507,1.669
0.147000,-1.5211,-0.0610,0.0136,1.522
0.157000,-1.1217,0.0640,-0.0988,1.128
0.158000,-0.4753,0.2310,-0.1178,0.541
0.161000,0.2719,0.4139,-0.0698,0.500
0.166000,0.9214,0.6263,0.0189,1.114
0.171000,1.3063,0.8203,0.0934,1.545
0.176000,1.4389,0.9955,0.0343,1.750
0.189000,1.4844,1.1065,-0.1774,1.860
0.189000,1.4404,1.1972,-0.5487,1.952
0.190000,1.2572,1.1968,-1.0965,2.053
0.196000,1.0038,1.0447,-1.6893,2.225
0.200000,0.8189,0.8859,-2.1411,2.458
