time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.002000,0.3741,0.9031,-0.4448,1.074
0.002000,0.6668,0.9171,-0.2242,1.156
0.008000,0.8944,0.9620,-0.0848,1.316
0.009000,1.0412,0.9517,-0.0099,1.411
0.014000,1.0266,0.9361,0.0342,1.390
0.018000,0.9877,0.9271,0.0402,1.355
0.023000,0.9151,0.9105,0.0465,1.292
0.028000,0.8037,0.8862,-0.0092,1.196
0.032000,0.7061,0.8614,-0.0383,1.114
0.037000,0.5454,0.8265,-0.0673,0.993
0.042000,0.3358,0.7649,-0.1534,0.849
0.047000,0.1918,0.6909,-0.2393,0.756
0.052000,-0.0428,0.6167,-0.2915,0.683
0.064000,-0.2179,0.5806,-0.2767,0.679
0.064000,-0.4606,0.5394,-0.2810,0.763
0.067000,-0.6136,0.5219,-0.2828,0.854
0.071000,-0.7067,0.5397,-0.3250,0.947
0.077000,-0.7313,0.5375,-0.3382,0.969
0.081000,-0.7048,0.5942,-0.3822,0.998
0.086000,-0.6513,0.6642,-0.3709,1.001
0.109000,-0.5538,0.6809,-0.4215,0.974
0.110000,-0.4295,0.7015,-0.4432,0.934
0.110000,-0.3021,0.7479,-0.4766,0.937
0.111000,-0.1451,0.7894,-0.4765,0.933
0.111000,0.0393,0.8497,-0.4381,0.957
0.118000,0.3131,0.9145,-0.3709,1.035
0.120000,0.6266,0.9980,-0.3109,1.219
0.130000,0.9803,1.1050,-0.2724,1.502
0.131000,1.2931,1.2306,-0.2936,1.809
0.135000,1.4725,1.3366,-0.3553,2.020
0.152000,1.5786,1.4187,-0.4360,2.167
0.153000,1.6122,1.4272,-0.5336,2.218
0.154000,1.5759,1.3981,-0.6336,2.200
0.155000,1.4555,1.4107,-0.6813,2.138
0.168000,1.3059,1.3575,-0.7747,2.037
0.169000,1.1105,1.2148,-0.8588,1.856
0.170000,0.9505,1.1621,-0.9600,1.782
0.185000,0.8733,1.0272,-1.0973,1.738
0.186000,0.3337,0.9445,-1.1083,1.494
0.186000,-0.0536,0.9139,-1.1724,1.487
0.230000,-0.2768,0.8492,-1.1605,1.464
0.231000,-0.4243,0.7671,-1.0462,1.365
0.232000,-0.5260,0.6527,-0.9300,1.252
0.232000,-0.5351,0.6489,-0.7590,1.133
0.232000,-0.5145,0.6589,-0.6909,1.084
0.233000,-0.4737,0.7156,-0.6368,1.069
0.233000,-0.3870,0.7252,-0.6540,1.050
0.234000,-0.2619,0.7639,-0.7112,1.076
0.234000,-0.1535,0.8033,-0.8610,1.188
0.234000,-0.0262,0.8531,-1.0413,1.346
0.243000,0.0628,0.5767,-1.3692,1.487
0.243000,0.2663,0.6613,-1.5294,1.687
0.257000,0.7057,0.8751,-1.5985,1.954
0.258000,1.1118,1.1085,-1.5985,2.241
0.259000,1.4144,1.3421,-1.7562,2.624
0.271000,1.5681,1.5116,-1.9164,2.901
0.273000,1.7282,1.5528,-2.0813,3.119
0.274000,1.8515,1.5117,-2.1221,3.196
0.277000,1.9120,1.3933,-2.1130,3.172
0.288000,1.9423,1.2787,-1.9848,3.057
0.289000,1.8585,1.2085,-1.8378,2.880
0.320000,1.7028,1.1075,-1.6527,2.619
0.321000,1.5039,1.0350,-1.5034,2.365
0.321000,1.2810,0.8327,-1.3516,2.040
0.322000,1.1078,0.7012,-1.2281,1.796
0.322000,0.9410,0.5921,-1.1209,1.579
0.322000,0.8539,0.4809,-1.0368,1.427
0.323000,0.6690,0.3935,-0.9470,1.224
0.328000,0.5349,0.3819,-0.9374,1.145
