time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.002000,0.3811,0.1013,0.6346,0.747
0.003000,0.2445,-0.0668,0.3912,0.466
0.007000,0.1055,-0.1858,0.1156,0.243
0.009000,-0.0618,-0.2336,-0.1346,0.277
0.014000,-0.2336,-0.1620,-0.3467,0.448
0.021000,-0.4121,-0.0211,-0.5848,0.716
0.023000,-0.4993,0.0558,-0.8318,0.972
0.028000,-0.4925,0.0931,-1.0805,1.191
0.033000,-0.4063,0.1244,-1.3303,1.397
0.038000,-0.3534,0.1498,-1.4088,1.460
0.043000,-0.2906,0.1550,-1.4313,1.469
0.047000,-0.2848,0.2281,-1.3117,1.362
0.057000,-0.3459,0.3235,-1.1412,1.236
0.058000,-0.3782,0.2353,-0.8769,0.984
0.062000,-0.4868,0.1263,-0.7679,0.918
0.067000,-0.3270,0.1470,-0.7498,0.831
0.096000,-0.1576,0.1966,-0.5170,0.575
0.097000,-0.3683,0.3223,-0.2422,0.546
0.097000,-0.8248,0.3807,-0.1018,0.914
0.098000,-1.0585,0.2573,-0.1647,1.102
0.098000,-1.1962,0.1345,-0.1699,1.216
0.099000,-1.2835,0.0744,-0.1219,1.291
0.103000,-1.2918,0.1299,-0.1663,1.309
0.114000,-1.3645,0.1241,-0.2095,1.386
0.115000,-1.3434,0.0597,-0.1372,1.352
0.116000,-1.2573,0.0347,0.0168,1.258
0.129000,-1.0924,0.0534,0.1999,1.112
0.130000,-0.9994,0.1059,0.3668,1.070
0.131000,-0.9138,0.1608,0.4668,1.039
0.136000,-0.8694,0.1577,0.6051,1.071
0.145000,-0.8330,0.1635,0.7100,1.107
0.146000,-0.8212,0.2141,0.6912,1.094
0.150000,-0.7531,0.2423,0.6299,1.011
0.162000,-0.6903,0.2487,0.5311,0.906
0.163000,-0.7072,0.2404,0.4475,0.871
0.184000,-0.7081,0.2390,0.4487,0.872
0.186000,-0.7048,0.3048,0.4201,0.875
0.187000,-0.7302,0.3279,0.3280,0.865
0.188000,-0.5619,0.3279,0.3633,0.745
0.189000,-0.4171,0.2618,0.4536,0.670
0.218000,-0.2957,0.2657,0.6222,0.738
0.219000,-0.2548,0.3393,0.8327,0.935
0.220000,-0.1748,0.4418,0.9746,1.084
0.221000,-0.1632,0.5729,1.0813,1.234
0.222000,-0.0097,0.6583,1.0019,1.199
