time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.001000,-0.4529,-0.0242,-0.4315,0.626
0.002000,-0.2208,0.0904,-0.4816,0.537
0.007000,0.0243,0.1518,-0.4868,0.511
0.010000,0.2420,0.1999,-0.3609,0.478
0.015000,0.4257,0.2651,-0.1899,0.536
0.019000,0.5368,0.3440,-0.0854,0.643
0.026000,0.6472,0.4862,-0.0136,0.810
0.029000,0.5826,0.5863,0.0255,0.827
0.034000,0.6064,0.5747,-0.0539,0.837
0.069000,0.5896,0.5091,-0.2041,0.805
0.070000,0.6163,0.4566,-0.3082,0.827
0.071000,0.6076,0.3241,-0.5503,0.882
0.071000,0.5282,0.3682,-0.8018,1.028
0.072000,0.4532,0.4099,-0.8292,1.030
0.072000,0.3016,0.3636,-0.8793,0.998
0.073000,-0.0347,0.2705,-0.9375,0.976
0.074000,-0.3003,0.0804,-0.9966,1.044
0.081000,-0.4140,-0.0340,-1.0376,1.118
0.083000,-0.4453,-0.0703,-0.9843,1.083
0.091000,-0.4825,-0.0594,-0.9229,1.043
0.093000,-0.5545,0.0701,-0.9178,1.075
0.097000,-0.5513,0.1579,-0.9282,1.091
0.103000,-0.4904,0.2207,-0.9825,1.120
0.107000,-0.4967,0.2773,-1.0062,1.156
0.112000,-0.4986,0.3444,-1.0038,1.173
0.116000,-0.5280,0.4170,-1.0660,1.261
0.131000,-0.5322,0.4976,-1.0898,1.311
0.132000,-0.4780,0.5166,-1.0942,1.301
0.132000,-0.4663,0.5624,-1.0767,1.301
0.136000,-0.4971,0.5629,-0.9869,1.240
0.141000,-0.5635,0.6539,-0.9391,1.276
0.149000,-0.6157,0.7015,-0.8927,1.292
0.150000,-0.6827,0.7317,-0.8663,1.324
0.180000,-0.7622,0.7443,-0.7738,1.317
0.181000,-0.7659,0.7296,-0.7562,1.300
0.181000,-0.8393,0.7237,-0.7347,1.330
0.181000,-0.8868,0.7525,-0.7569,1.388
0.182000,-0.9227,0.7781,-0.7488,1.420
0.182000,-0.9559,0.7861,-0.7730,1.459
0.188000,-0.8786,0.8006,-0.7506,1.406
0.195000,-0.7714,0.8601,-0.7681,1.387
0.196000,-0.6404,0.9119,-0.8213,1.384
0.200000,-0.6190,0.9710,-0.8912,1.456
0.213000,-0.6423,1.0038,-0.9520,1.525
0.214000,-0.7646,0.9989,-1.0205,1.620
0.214000,-0.8789,1.0328,-1.0705,1.728
0.219000,-0.9377,1.0699,-1.0373,1.761
0.229000,-0.9465,1.1339,-0.9924,1.779
0.230000,-0.9915,1.1719,-0.9524,1.806
0.234000,-0.9698,1.1959,-0.9125,1.790
0.269000,-0.9463,1.2558,-0.7744,1.753
0.270000,-0.8561,1.3395,-0.7057,1.739
0.270000,-0.7208,1.3752,-0.6107,1.668
0.270000,-0.5587,1.3892,-0.6043,1.615
0.271000,-0.5202,1.4004,-0.6889,1.645
0.271000,-0.6455,1.4042,-0.8406,1.759
0.271000,-0.8248,1.4706,-0.9545,1.938
0.274000,-0.8652,1.4848,-0.9657,1.971
0.277000,-0.8959,1.5237,-0.9224,1.994
0.283000,-0.8237,1.5584,-0.8389,1.952
0.287000,-0.7513,1.5433,-0.7750,1.883
0.297000,-0.7810,1.4520,-0.5873,1.750
0.298000,-0.8313,1.3847,-0.3595,1.655
0.302000,-0.9002,1.3934,-0.2012,1.671
