time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.001000,1.4606,1.7070,0.9658,2.445
0.002000,1.2960,1.7750,0.7286,2.315
0.006000,1.2831,1.7281,0.5727,2.227
0.015000,1.3174,1.6127,0.4781,2.137
0.016000,1.3040,1.5129,0.4514,2.048
0.018000,1.2146,1.4625,0.4178,1.946
0.023000,1.0377,1.5530,0.3367,1.898
0.029000,0.9339,1.5766,0.2247,1.846
0.033000,0.8794,1.6032,0.1250,1.833
0.037000,0.8575,1.5757,0.0256,1.794
0.045000,0.8230,1.5638,-0.0090,1.767
0.047000,0.7879,1.5651,0.0403,1.753
0.052000,0.7088,1.5649,0.0829,1.720
0.056000,0.6669,1.6350,0.1838,1.775
0.061000,0.5901,1.7535,0.2143,1.862
0.067000,0.5881,1.7912,0.2227,1.898
0.071000,0.5746,1.7553,0.2331,1.862
0.086000,0.6833,1.6935,0.2961,1.850
0.087000,0.7797,1.6913,0.3759,1.900
0.087000,0.7035,1.7005,0.3699,1.877
0.093000,0.5955,1.7160,0.3120,1.843
0.096000,0.4605,1.7190,0.2362,1.795
0.100000,0.4015,1.6763,0.2119,1.737
0.105000,0.3396,1.6099,0.1459,1.652
0.122000,0.2364,1.5245,0.0863,1.545
0.122000,0.1234,1.4946,0.0976,1.503
0.122000,0.0987,1.4155,0.1105,1.423
0.132000,0.0761,1.3230,0.1514,1.334
0.132000,0.0890,1.2698,0.2229,1.292
0.135000,0.1207,1.1628,0.3346,1.216
0.139000,0.2379,1.0806,0.5244,1.225
0.144000,0.4193,1.0326,0.8133,1.380
0.149000,0.5333,0.9800,1.0189,1.511
0.154000,0.6755,0.8723,1.1481,1.592
0.160000,0.7385,0.7549,1.2604,1.644
0.164000,0.8326,0.7137,1.2143,1.636
0.169000,0.8906,0.6938,0.9793,1.495
0.173000,0.9986,0.6261,0.5919,1.319
0.178000,1.1331,0.4853,0.1552,1.242
0.183000,1.3922,0.3341,-0.1366,1.438
0.188000,1.6466,0.1894,-0.2599,1.678
0.199000,1.9255,0.0706,-0.2488,1.943
0.199000,2.2431,-0.0702,-0.0936,2.246
0.203000,2.4891,-0.1328,0.0885,2.494
0.207000,2.6375,-0.2825,0.3570,2.676
0.212000,2.7627,-0.3995,0.5819,2.851
0.217000,2.8338,-0.4075,0.7633,2.963
0.223000,2.8988,-0.3807,0.9560,3.076
0.228000,2.9265,-0.2854,1.2226,3.184
0.232000,3.0340,-0.2581,1.4651,3.379
0.237000,3.1492,-0.2057,1.7982,3.632
0.243000,3.2767,-0.1576,2.1001,3.895
0.247000,3.4111,-0.0689,2.5168,4.240
0.252000,3.4872,0.0093,2.8426,4.499
0.256000,3.5478,0.1051,3.1139,4.722
0.262000,3.5471,0.1489,3.2807,4.834
0.267000,3.5400,0.1501,3.3885,4.903
0.271000,3.4328,0.1539,3.4262,4.852
0.277000,3.2733,0.1937,3.5014,4.797
0.281000,3.0690,0.2580,3.6048,4.741
0.286000,2.8821,0.3539,3.7412,4.736
0.291000,2.6746,0.4553,3.8814,4.736
0.305000,2.5421,0.5405,4.0134,4.781
0.306000,2.4176,0.5977,4.1491,4.839
0.307000,2.2893,0.6556,4.1786,4.810
0.311000,2.2148,0.7454,4.1708,4.781
0.315000,2.1392,0.8597,4.1204,4.722
0.320000,2.0988,0.9078,4.1534,4.741
0.344000,1.9670,1.0067,4.2044,4.750
0.345000,1.7824,1.1538,4.1655,4.675
0.346000,1.5500,1.3300,4.1674,4.641
0.346000,1.4135,1.4920,4.1423,4.624
0.347000,1.3350,1.7115,4.0466,4.592
0.349000,1.2334,1.8809,3.7956,4.412
0.354000,1.0824,2.0738,3.3408,4.078
0.360000,0.8130,2.3285,2.7947,3.727
0.364000,0.5924,2.5518,2.2273,3.439
0.369000,0.3704,2.6578,1.6031,3.126
0.374000,0.1569,2.7598,0.9440,2.921
0.379000,-0.0123,2.8914,0.4583,2.928
0.385000,-0.0133,3.0262,0.1013,3.028
0.388000,-0.2293,3.1162,-0.2528,3.135
0.394000,-0.5244,3.0993,-0.7170,3.224
0.399000,-0.6744,3.1026,-1.1295,3.370
0.404000,-0.5628,3.0495,-1.4466,3.422
0.408000,-0.4409,3.0001,-1.7345,3.493
0.421000,-0.4096,2.9323,-1.8639,3.499
0.422000,-0.3374,2.7485,-1.8872,3.351
0.423000,-0.1669,2.4630,-1.7064,3.001
0.427000,-0.1329,2.0849,-1.3437,2.484
0.432000,-0.2514,1.7290,-0.7616,1.906
0.437000,-0.3930,1.4237,-0.1453,1.484
0.462000,-0.5214,1.1285,0.4187,1.312
