time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.002000,-1.2133,2.0741,-0.0293,2.403
0.003000,-0.8696,2.3055,-0.1673,2.470
0.003000,-0.5261,2.4546,-0.3596,2.536
0.008000,-0.2204,2.4421,-0.6308,2.532
0.014000,-0.1649,2.3041,-0.9929,2.514
0.019000,-0.4450,2.2513,-1.3775,2.677
0.023000,-0.9366,2.1100,-1.6111,2.815
0.029000,-1.2198,1.9384,-1.6247,2.808
0.035000,-1.3889,1.7203,-1.4395,2.638
0.038000,-1.6147,1.5420,-1.3151,2.591
0.043000,-1.8476,1.3702,-1.2125,2.600
0.048000,-1.9859,1.1362,-1.0856,2.533
0.053000,-2.0853,0.8788,-0.8938,2.433
0.058000,-2.1365,0.6556,-0.6487,2.327
0.063000,-2.3292,0.3257,-0.3928,2.384
0.077000,-2.5347,0.0542,-0.0222,2.535
0.078000,-2.6628,-0.1921,0.3441,2.692
0.079000,-2.6517,-0.3845,0.6803,2.764
0.082000,-2.4104,-0.4879,0.9681,2.643
0.106000,-2.0033,-0.6102,1.2866,2.458
0.106000,-1.5106,-0.7887,1.4329,2.226
0.107000,-1.1725,-1.0484,1.4100,2.112
0.108000,-0.7511,-1.2943,1.3013,1.983
0.108000,-0.1212,-1.5652,1.0533,1.890
0.114000,0.5466,-1.7951,0.7841,2.034
0.116000,0.8544,-1.8173,0.4591,2.060
0.128000,0.7282,-1.6885,-0.0019,1.839
0.128000,0.3319,-1.6674,-0.5303,1.781
0.131000,0.0807,-2.1428,-0.9943,2.364
0.145000,0.0445,-2.9933,-1.3455,3.282
0.145000,0.0953,-3.8757,-1.6462,4.212
0.146000,0.0461,-4.4814,-2.1807,4.984
0.150000,-0.1922,-4.8006,-2.9049,5.614
0.161000,-0.4577,-4.9624,-3.7557,6.240
0.162000,-0.6480,-5.1241,-4.3750,6.769
0.165000,-1.0067,-5.2657,-4.5998,7.064
0.183000,-1.5474,-5.4296,-4.5570,7.255
0.186000,-2.2270,-5.5599,-4.4515,7.462
0.188000,-3.2423,-5.7531,-4.4489,7.963
0.188000,-4.4850,-5.7917,-4.5968,8.648
0.189000,-5.6397,-5.5388,-4.7042,9.199
0.195000,-6.3057,-5.0110,-4.7197,9.335
0.199000,-6.3671,-4.4239,-4.5123,8.971
0.218000,-5.7079,-3.7061,-3.9316,7.860
0.220000,-4.4114,-2.7711,-2.9399,5.982
0.220000,-2.1779,-1.3905,-1.4562,2.966
0.221000,0.8505,0.4804,0.5781,1.135
