time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.002000,-0.6270,1.3461,0.8844,1.728
0.002000,-0.7708,1.3802,0.9198,1.829
0.008000,-0.9515,1.4325,0.9447,1.962
0.008000,-1.0781,1.4771,0.9831,2.076
0.014000,-1.1464,1.5472,0.9730,2.158
0.018000,-1.2472,1.5973,0.8933,2.215
0.023000,-1.3617,1.5746,0.7681,2.219
0.028000,-1.5399,1.5729,0.5975,2.281
0.033000,-1.6211,1.6260,0.6657,2.391
0.038000,-1.4660,1.6961,0.8730,2.406
0.043000,-1.6501,1.6611,0.9722,2.535
0.048000,-1.6613,1.5117,1.0777,2.491
0.052000,-1.6048,1.3510,1.0794,2.359
0.057000,-1.6407,1.3273,1.1328,2.395
0.063000,-1.6852,1.3282,1.1996,2.458
0.067000,-1.7527,1.3204,1.2368,2.519
0.079000,-1.6973,1.2659,1.2422,2.455
0.079000,-1.5410,1.2171,1.2951,2.352
0.081000,-1.4347,1.1331,1.3238,2.257
0.088000,-1.3357,1.1524,1.3337,2.212
0.091000,-1.2491,1.1860,1.3276,2.175
0.096000,-1.1825,1.2411,1.3559,2.186
0.101000,-1.1409,1.2984,1.3811,2.212
0.131000,-1.0863,1.2768,1.4608,2.224
0.132000,-1.0288,1.1904,1.5669,2.221
0.133000,-1.0307,1.1013,1.7282,2.294
0.133000,-1.2881,0.9953,2.0837,2.644
0.133000,-1.3894,0.8941,2.2673,2.805
0.134000,-1.4375,0.8264,2.6114,3.093
0.138000,-1.5325,0.7422,3.1368,3.569
0.147000,-1.6019,0.7132,3.6728,4.070
0.148000,-1.7701,0.6339,4.3240,4.715
0.150000,-2.3277,0.4634,5.0245,5.557
0.168000,-2.5230,0.3528,5.2282,5.816
0.168000,-2.2839,0.2952,5.2359,5.720
0.169000,-2.1171,0.2788,5.1496,5.575
0.169000,-2.0576,0.4092,5.0096,5.431
0.213000,-1.8754,0.6578,4.7579,5.156
0.213000,-1.6179,0.9799,4.5065,4.887
0.214000,-1.3257,1.1773,4.3561,4.703
0.214000,-0.9871,1.3744,4.2853,4.607
0.215000,-0.6098,1.6162,4.3304,4.662
0.215000,-0.3164,1.8732,4.4797,4.866
0.216000,-0.1815,2.1202,4.7142,5.172
0.216000,-0.1364,2.3942,4.8979,5.453
0.216000,-0.1529,2.6873,5.0267,5.702
0.220000,-0.1402,2.8511,5.0168,5.772
0.228000,-0.1030,2.9503,4.9927,5.800
0.229000,-0.0629,3.0114,5.1073,5.929
0.233000,-0.0481,2.9604,5.3912,6.151
0.247000,-0.0558,2.8860,5.7888,6.469
0.247000,-0.1330,2.7644,6.1723,6.764
0.248000,-0.1863,2.6626,6.5582,7.081
0.253000,-0.1720,2.5497,6.8433,7.305
0.263000,-0.1329,2.5068,6.9915,7.429
0.264000,-0.0136,2.4507,7.0650,7.478
0.267000,0.1189,2.4122,6.9780,7.384
0.281000,0.2650,2.4006,6.8091,7.225
0.282000,0.4147,2.4611,6.5855,7.043
0.283000,0.6413,2.5358,6.3680,6.884
0.286000,0.8915,2.6101,6.0332,6.634
0.343000,1.0614,2.6790,5.6375,6.331
0.343000,1.2521,2.6731,5.1783,5.961
0.344000,1.4009,2.5429,4.7161,5.538
0.344000,1.4843,2.4730,4.4399,5.295
0.345000,1.5831,2.3703,4.2690,5.133
0.346000,1.6232,2.2474,4.1892,5.023
0.346000,1.7177,2.1612,4.1470,4.982
0.347000,1.8831,2.1022,4.0710,4.954
0.348000,2.1459,1.9939,3.9442,4.913
0.348000,2.2983,1.8219,3.8693,4.855
0.349000,2.4163,1.5505,3.9378,4.873
0.349000,2.5626,1.3606,4.0555,4.986
0.352000,2.7242,1.2493,4.1157,5.091
0.363000,2.7596,1.1299,3.9706,4.966
0.364000,2.7142,0.9855,3.6230,4.633
0.365000,2.6758,0.7664,3.1411,4.197
0.370000,2.6543,0.6016,2.5650,3.740
0.384000,2.5794,0.4823,2.1136,3.369
0.385000,2.5295,0.3941,1.6533,3.047
0.385000,2.4582,0.3251,1.2445,2.774
0.429000,2.4051,0.2276,0.7732,2.537
0.430000,2.3062,0.1963,0.2529,2.328
0.430000,2.2154,0.0902,-0.3058,2.238
0.430000,2.1731,0.0415,-0.8145,2.321
0.431000,2.0566,-0.0195,-1.3636,2.468
0.431000,1.9467,-0.0179,-1.9525,2.757
0.431000,1.8580,-0.0523,-2.4647,3.087
0.432000,1.7901,-0.0859,-2.9500,3.452
0.432000,1.6927,-0.1201,-3.4130,3.812
0.433000,1.5775,-0.1877,-3.8535,4.168
0.440000,1.4614,-0.2776,-4.1831,4.440
0.455000,1.3167,-0.4385,-4.4047,4.618
0.455000,1.1163,-0.5342,-4.4983,4.665
0.456000,0.8257,-0.6518,-4.5530,4.673
0.458000,0.4296,-0.7978,-4.5769,4.666
0.462000,0.0837,-0.8904,-4.5345,4.622
0.467000,-0.1592,-1.0078,-4.4954,4.610
0.473000,-0.3105,-1.0291,-4.5893,4.713
0.477000,-0.4517,-1.0781,-4.7323,4.875
0.482000,-0.5585,-1.1498,-4.9031,5.067
0.487000,-0.5423,-1.1911,-5.1499,5.314
0.498000,-0.4658,-1.2071,-5.3934,5.546
0.499000,-0.3990,-1.2004,-5.5091,5.652
0.502000,-0.3096,-1.0663,-5.6279,5.736
0.507000,-0.0886,-0.9515,-5.7686,5.847
0.511000,0.5777,-0.8884,-5.9661,6.059
0.516000,1.3643,-0.9356,-6.6113,6.815
0.520000,0.7251,-0.6136,-6.4503,6.520
0.554000,0.5683,-0.2277,-6.1433,6.174
0.555000,0.5775,0.0746,-6.1850,6.212
0.556000,0.6519,0.0870,-6.5295,6.563
0.558000,0.7207,-0.1736,-7.0118,7.051
0.558000,0.7787,-0.5895,-7.6004,7.663
0.559000,0.8886,-1.0209,-8.0895,8.202
0.559000,0.9987,-1.4426,-8.3935,8.575
0.563000,1.1427,-1.7865,-8.5760,8.834
0.564000,1.3004,-2.0850,-8.9433,9.275
0.570000,1.3830,-2.4449,-9.1738,9.594
0.575000,1.0765,-2.7266,-9.0653,9.528
0.580000,0.3463,-2.9012,-8.1652,8.672
0.585000,0.2463,-2.9548,-8.1294,8.653
0.597000,0.9963,-3.0689,-8.4661,9.060
0.597000,1.4149,-3.3824,-8.4150,9.179
0.599000,1.2438,-3.7359,-7.8235,8.758
0.603000,1.1874,-3.9495,-7.3342,8.414
0.609000,1.3702,-4.1225,-6.9718,8.215
0.613000,1.6468,-4.4948,-6.5534,8.116
0.618000,1.8275,-5.0556,-6.1547,8.172
0.639000,1.9664,-5.7529,-5.7966,8.400
0.640000,2.0210,-6.4644,-5.5101,8.731
0.640000,1.9316,-7.1197,-5.5054,9.205
0.641000,1.6788,-7.5998,-5.5996,9.588
0.643000,1.6162,-8.1964,-5.7727,10.155
0.647000,1.9919,-8.7702,-5.9811,10.801
0.652000,3.3687,-9.2155,-6.4288,11.730
0.661000,3.1017,-9.5488,-6.7436,12.094
0.663000,2.8514,-9.0591,-4.9862,10.727
0.667000,4.2303,-8.7901,-2.2875,10.020
0.673000,6.5889,-8.3695,-0.3355,10.657
0.700000,9.1550,-7.4581,1.5055,11.904
0.701000,11.5084,-6.4663,4.1047,13.824
0.702000,13.6415,-5.8897,6.4271,16.189
0.703000,15.2491,-5.2821,8.2139,18.108
0.703000,16.3375,-4.5878,9.6518,19.522
