time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.001000,-1.2411,0.7595,-2.1360,2.585
0.002000,-0.5957,0.8281,-1.6640,1.952
0.003000,-0.3692,0.8768,-1.0942,1.450
0.007000,-0.4798,1.0037,-0.7892,1.364
0.012000,-0.4618,1.2100,-0.7965,1.520
0.017000,-0.3035,1.3166,-0.8386,1.590
0.024000,-0.0705,1.3093,-0.9231,1.604
0.027000,0.0947,1.2271,-0.9789,1.573
0.032000,0.0500,1.1895,-0.9106,1.499
0.040000,-0.2803,1.1054,-0.8790,1.440
0.041000,-0.7625,1.0970,-0.9792,1.656
0.046000,-1.2129,1.1164,-1.1324,2.000
0.051000,-1.5815,1.0447,-1.2786,2.286
0.057000,-1.8308,0.9351,-1.3487,2.459
0.062000,-2.0949,0.7922,-1.4311,2.658
0.066000,-2.2239,0.5541,-1.5758,2.781
0.074000,-2.3905,0.3783,-1.6988,2.957
0.075000,-2.5575,0.2860,-1.9095,3.204
0.081000,-2.6542,0.2460,-2.1166,3.404
0.085000,-2.8010,0.2609,-2.3892,3.691
0.091000,-2.9347,0.3022,-2.5833,3.921
0.095000,-3.0589,0.3751,-2.6604,4.071
0.100000,-3.1314,0.4300,-2.7136,4.166
0.105000,-3.1461,0.4480,-2.6493,4.137
0.110000,-3.0432,0.4794,-2.5105,3.974
0.115000,-2.8859,0.5290,-2.2920,3.723
0.122000,-2.6597,0.6032,-2.0535,3.414
0.125000,-2.4411,0.6754,-1.8542,3.139
0.129000,-2.2272,0.8699,-1.6512,2.906
0.134000,-2.0027,1.0167,-1.4111,2.652
0.139000,-1.7847,1.1065,-1.1168,2.378
0.144000,-1.6982,1.0938,-0.7881,2.168
0.149000,-1.6367,1.0502,-0.4611,1.999
0.157000,-1.6089,1.0163,-0.1266,1.907
0.158000,-1.5889,1.0324,0.1335,1.900
0.163000,-1.4289,1.0916,0.3935,1.841
0.168000,-1.2109,1.1333,0.5903,1.760
0.175000,-1.0174,1.1647,0.7785,1.731
0.178000,-0.8884,1.1588,0.9218,1.727
0.183000,-0.7660,1.1296,0.9890,1.685
0.188000,-0.7353,1.1625,0.9629,1.679
0.193000,-0.7710,1.2455,0.8346,1.686
0.198000,-0.8078,1.3093,0.5917,1.648
0.202000,-0.8528,1.3714,0.2076,1.628
0.208000,-0.8750,1.4898,-0.2746,1.749
0.212000,-0.8646,1.6344,-0.8341,2.028
0.217000,-0.7295,1.6366,-1.5252,2.353
0.222000,-0.7045,1.8443,-2.0469,2.844
0.227000,-0.8163,2.1435,-2.2103,3.185
0.232000,-0.8860,2.3454,-2.3432,3.432
0.237000,-0.7679,2.5099,-2.4215,3.571
0.249000,-0.6459,2.5369,-2.3985,3.550
0.250000,-0.5131,2.4543,-2.1803,3.323
0.251000,-0.4777,2.4210,-1.8258,3.070
0.257000,-0.4588,2.3565,-1.3966,2.777
0.261000,-0.5587,2.3024,-1.0478,2.591
0.266000,-0.6421,2.1104,-0.7495,2.330
0.278000,-0.6102,1.7802,-0.5211,1.953
0.279000,-0.6801,1.3985,-0.1743,1.565
0.281000,-0.9364,1.0489,0.3829,1.457
0.286000,-1.2095,0.7168,0.9116,1.676
0.291000,-1.5785,0.5003,1.2493,2.074
0.296000,-2.0561,0.2797,1.5263,2.576
0.300000,-2.6709,0.1100,1.6967,3.166
0.305000,-3.3079,-0.3477,1.7320,3.750
0.310000,-3.3968,-0.3876,1.3459,3.674
0.315000,-3.3408,-0.3533,0.7193,3.436
0.320000,-3.2760,-0.4335,0.0815,3.306
0.325000,-3.2576,-0.5110,-0.4216,3.324
0.329000,-3.2330,-0.6765,-0.9502,3.437
0.334000,-3.2309,-0.9799,-1.4278,3.666
0.341000,-3.1143,-1.2727,-1.9028,3.865
0.344000,-2.9099,-1.4973,-2.3697,4.040
0.350000,-2.6140,-1.7425,-2.9272,4.294
0.353000,-2.3851,-2.0156,-3.4497,4.653
0.364000,-2.1732,-2.2691,-3.9123,5.018
0.366000,-2.0904,-2.5582,-4.2407,5.376
0.369000,-1.8410,-2.9206,-4.4956,5.668
0.375000,-1.2574,-3.2916,-4.6196,5.810
0.378000,-1.2697,-3.7766,-4.6980,6.160
0.383000,-1.3053,-4.2819,-4.5973,6.417
0.388000,-1.1972,-4.7904,-4.2824,6.536
0.393000,-0.8499,-5.3633,-4.0881,6.797
0.398000,-0.3865,-5.9425,-4.0240,7.187
0.403000,0.0622,-6.4532,-4.0050,7.595
0.408000,0.4563,-6.9553,-3.9445,8.009
0.412000,0.6368,-7.3559,-3.8641,8.333
0.417000,0.7253,-7.7330,-3.8105,8.651
0.422000,0.7272,-8.0384,-3.8693,8.951
0.427000,0.5397,-8.3624,-4.0094,9.290
0.432000,0.2513,-8.7299,-4.2171,9.698
0.437000,0.0539,-9.0466,-4.4610,10.087
0.444000,-0.0459,-9.3245,-4.6833,10.435
0.447000,0.0216,-9.5273,-4.7582,10.649
0.451000,0.2855,-9.7454,-4.8723,10.899
0.469000,0.8005,-9.9793,-4.8572,11.127
0.470000,1.3704,-10.2452,-4.4650,11.260
0.471000,1.9537,-10.5140,-3.9943,11.416
0.472000,2.5742,-10.8186,-3.5622,11.677
0.486000,3.2200,-11.2198,-3.2565,12.118
0.490000,3.7333,-11.6758,-3.1112,12.647
0.491000,3.9828,-12.1263,-3.0262,13.117
0.492000,4.0498,-12.4863,-3.0384,13.474
0.495000,3.9918,-12.7923,-3.0841,13.751
0.500000,3.8015,-13.1657,-3.1535,14.062
0.505000,3.5507,-13.4592,-3.0787,14.256
0.511000,3.4760,-13.8237,-2.8683,14.540
0.515000,3.5754,-14.1277,-2.5091,14.788
0.519000,3.8820,-14.2920,-1.8993,14.931
0.525000,4.2903,-14.3683,-1.1835,15.042
0.530000,4.6686,-14.4923,-0.3369,15.229
0.534000,4.9828,-14.6550,0.4999,15.487
0.539000,5.2261,-14.8007,1.2926,15.749
0.544000,5.3312,-14.9503,2.0879,16.009
0.549000,5.4009,-15.0609,2.8435,16.251
0.554000,5.5120,-15.0867,3.5943,16.459
0.560000,5.8559,-15.0155,4.4125,16.710
0.565000,6.4205,-14.7745,5.3855,16.986
0.568000,7.1631,-14.3507,6.4832,17.300
0.582000,7.7460,-14.0935,7.2120,17.625
0.584000,7.9327,-13.8068,7.7260,17.699
0.585000,8.0373,-13.4685,8.2377,17.716
0.589000,8.0792,-13.0328,8.5930,17.577
0.593000,8.0267,-12.4801,8.7529,17.228
0.598000,7.8536,-11.8397,8.7917,16.708
0.603000,7.6967,-11.1465,8.7322,16.116
0.613000,7.7068,-10.3814,8.7097,15.589
0.614000,7.8351,-9.6962,8.5934,15.141
0.617000,8.0490,-9.0750,8.4423,14.779
0.623000,8.2781,-8.5217,8.2839,14.483
0.627000,8.4332,-7.9703,8.1681,14.190
0.632000,8.5355,-7.4858,8.1169,13.956
0.637000,8.6652,-6.9621,8.2163,13.823
0.642000,8.8304,-6.3788,8.3029,13.697
0.646000,8.9346,-5.8543,8.3008,13.528
0.651000,9.1979,-5.2617,8.3163,13.470
