time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.001000,0.5131,1.9694,-0.0229,2.035
0.002000,0.5254,1.9635,-0.0083,2.033
0.006000,0.5257,1.8970,-0.0614,1.969
0.025000,0.5271,1.8252,-0.1229,1.904
0.025000,0.5617,1.7535,-0.2078,1.853
0.026000,0.4962,1.7041,-0.2856,1.798
0.026000,0.4483,1.6679,-0.4331,1.781
0.042000,0.3435,1.6045,-0.5283,1.724
0.043000,0.2083,1.5166,-0.5021,1.611
0.043000,0.0948,1.3970,-0.5216,1.494
0.097000,-0.0001,1.2453,-0.5100,1.346
0.097000,-0.0921,1.1258,-0.4999,1.235
0.097000,-0.1654,1.0283,-0.5602,1.183
0.097000,-0.2609,0.9718,-0.6976,1.224
0.098000,-0.4251,0.8939,-0.8733,1.320
0.098000,-0.6590,0.7441,-1.1057,1.487
0.098000,-0.8876,0.6639,-1.4301,1.809
0.099000,-1.0329,0.5889,-1.6857,2.063
0.099000,-1.1368,0.5242,-1.9130,2.286
0.099000,-1.1163,0.4865,-2.0208,2.359
0.100000,-1.0845,0.4735,-2.0545,2.371
0.100000,-1.0154,0.4132,-1.9996,2.280
0.105000,-0.9953,0.3054,-1.9516,2.212
0.108000,-0.9209,0.1908,-1.9417,2.157
0.118000,-0.8516,0.0573,-1.8888,2.073
0.119000,-0.8919,-0.0929,-1.9102,2.110
0.122000,-0.9144,-0.2311,-1.9582,2.173
0.136000,-0.9052,-0.3144,-1.9537,2.176
0.137000,-0.9906,-0.4119,-1.9543,2.229
0.137000,-1.1062,-0.5215,-1.8664,2.231
0.142000,-1.3094,-0.6457,-1.8765,2.378
0.187000,-1.4760,-0.7415,-1.8552,2.484
0.188000,-1.6939,-0.9070,-1.8003,2.633
0.188000,-1.8565,-1.0035,-1.9118,2.848
0.189000,-1.9375,-1.1344,-2.0389,3.033
0.189000,-2.0256,-1.2205,-2.2866,3.290
0.190000,-2.1540,-1.3283,-2.6976,3.699
0.190000,-2.3101,-1.3403,-3.0378,4.045
0.191000,-2.4661,-1.3754,-3.4025,4.422
0.191000,-2.5305,-1.3635,-3.7490,4.724
0.192000,-2.5176,-1.4118,-4.1060,5.019
0.195000,-1.7823,-1.4865,-4.6716,5.216
0.200000,-2.0145,-1.5971,-4.7789,5.426
0.205000,-2.5042,-1.6172,-4.6402,5.515
0.210000,-2.8843,-1.6165,-4.7486,5.786
0.215000,-3.0186,-1.7142,-5.0558,6.133
0.220000,-3.0172,-1.8813,-5.2986,6.381
0.225000,-3.0633,-2.1583,-5.4560,6.619
0.237000,-3.1485,-2.4611,-5.5175,6.813
0.239000,-3.2262,-2.7156,-5.6486,7.049
0.240000,-3.2672,-2.9263,-5.8279,7.294
0.245000,-3.3450,-3.1670,-5.9816,7.550
0.249000,-3.4246,-3.4708,-6.2927,7.961
0.255000,-3.4975,-3.8796,-6.5401,8.370
0.259000,-3.5034,-4.2401,-6.7483,8.706
0.299000,-3.5853,-4.5873,-6.9296,9.051
0.300000,-3.7311,-4.9162,-6.9644,9.306
0.300000,-4.0021,-5.2100,-6.8941,9.523
0.301000,-4.3613,-5.4485,-6.6935,9.670
0.302000,-4.5470,-5.6844,-6.4711,9.740
0.303000,-4.6116,-5.9243,-6.2460,9.766
0.303000,-4.5962,-6.2375,-6.0033,9.802
0.304000,-4.5454,-6.4811,-5.6073,9.701
0.305000,-4.6016,-6.7926,-5.2326,9.731
0.308000,-4.6014,-7.0437,-4.7624,9.668
0.322000,-4.5563,-7.2750,-4.1846,9.550
0.323000,-4.4730,-7.4675,-3.5642,9.406
0.324000,-4.3981,-7.7245,-2.8683,9.340
0.329000,-4.2585,-7.9345,-1.9530,9.214
0.333000,-4.0022,-8.0388,-0.8965,9.025
0.337000,-3.5846,-8.0679,0.2396,8.832
0.342000,-3.0388,-7.9897,1.1933,8.631
0.355000,-2.3976,-7.8727,2.0425,8.479
0.355000,-1.7413,-7.7573,2.6362,8.376
0.357000,-1.2135,-7.5490,2.9984,8.213
0.362000,-0.8828,-7.1826,2.9856,7.828
0.367000,-0.7460,-6.6959,2.6013,7.222
0.371000,-0.5949,-6.1119,1.9635,6.447
0.375000,-0.3882,-5.4537,1.1608,5.589
0.412000,-0.0354,-4.7630,0.4262,4.782
0.412000,0.6071,-4.0773,-0.1048,4.124
0.413000,1.4261,-3.3264,-0.3109,3.632
0.413000,2.5139,-2.4553,-0.1965,3.519
0.414000,3.8837,-1.5022,0.3935,4.183
0.414000,5.5869,-0.4617,1.4727,5.796
0.415000,7.6931,0.6857,3.1114,8.327
0.415000,10.2955,1.8480,5.3581,11.753
0.421000,13.2914,2.9878,8.1568,15.878
0.425000,16.4753,4.1380,11.4918,20.509
0.467000,19.4540,5.1915,15.2446,25.255
0.467000,21.7646,6.1643,19.1109,29.613
0.468000,23.5220,7.0795,22.8489,33.548
0.469000,24.5039,7.8731,25.9918,36.579
0.470000,25.2419,8.7118,28.2325,38.860
0.470000,24.9770,9.2296,29.4177,39.679
0.471000,23.7616,9.5713,29.3684,38.971
0.471000,22.5756,9.9821,28.3907,37.621
0.472000,21.8029,10.6328,26.6316,36.023
0.474000,21.8023,11.4492,24.4974,34.735
0.486000,22.5237,12.2317,22.2322,33.929
0.487000,23.5567,13.1034,20.0390,33.588
0.488000,24.7037,13.8827,17.8502,33.491
0.493000,25.7358,14.6099,15.8209,33.557
0.541000,26.4497,15.3587,13.7667,33.541
0.542000,26.6718,15.9877,11.7967,33.259
0.543000,26.4655,16.4385,9.9685,32.711
0.544000,26.0148,16.6803,8.2870,31.995
0.545000,25.4086,16.6665,6.7924,31.137
0.545000,24.8178,16.3545,5.5578,30.237
0.546000,24.3771,15.7068,4.7636,29.388
0.547000,24.0445,14.7855,4.3502,28.560
0.548000,23.7669,13.6635,4.3473,27.757
0.548000,23.5743,12.3776,4.6861,27.035
0.549000,23.5301,10.9312,5.3938,26.500
0.552000,23.3916,9.3456,6.5868,26.036
0.557000,23.0327,7.5581,8.1433,25.572
0.570000,22.5219,5.5964,9.5391,25.091
0.571000,21.9489,3.4839,10.6229,24.632
0.572000,21.3387,1.2655,11.5236,24.284
0.576000,20.6681,-1.0097,12.2303,24.037
0.582000,19.9305,-3.2193,12.5261,23.759
0.586000,18.9731,-5.3045,12.3182,23.235
0.591000,17.8992,-7.2530,11.6885,22.575
0.627000,16.6898,-9.0520,10.7973,21.842
0.629000,15.5336,-10.8317,9.6569,21.257
0.631000,14.3928,-12.5519,8.3190,20.830
0.632000,13.1835,-14.1918,6.7876,20.525
0.632000,11.8939,-15.6583,5.1049,20.315
0.633000,10.5424,-16.8765,3.3725,20.182
0.634000,9.1258,-17.8432,1.7002,20.113
0.635000,7.8142,-18.5048,0.2074,20.088
0.636000,6.5275,-18.8825,-1.1387,20.011
0.639000,5.3442,-19.0459,-2.2228,19.906
0.644000,4.2091,-19.1184,-3.0068,19.806
0.650000,3.0257,-19.3026,-3.6178,19.870
0.655000,2.0552,-19.3486,-4.0085,19.866
0.659000,1.1726,-19.3012,-4.3595,19.822
0.671000,0.2890,-19.2074,-4.5735,19.747
0.672000,-0.5578,-19.0754,-4.5942,19.629
0.674000,-1.0896,-18.9817,-4.3116,19.496
0.680000,-1.3295,-18.9486,-3.7899,19.370
0.683000,-1.3284,-18.7701,-3.1261,19.075
0.688000,-1.1443,-18.6625,-2.3578,18.846
0.693000,-0.6248,-18.5648,-1.3996,18.628
0.723000,0.0508,-18.5675,-0.3214,18.570
0.723000,0.2644,-18.8472,0.6205,18.859
0.724000,-0.1885,-19.1886,1.3124,19.234
0.725000,-1.4104,-19.5296,1.8945,19.672
0.725000,-2.9350,-19.9281,2.3648,20.281
0.726000,-4.6166,-20.3120,2.6406,20.997
0.727000,-6.1158,-20.5895,2.7310,21.651
