
time,ax,ay,az,wx,wy,wz,
0.25,-0.19,-0.06,-0.21,-0.01,0.23,0.01,
0.25,-0.14,-0.05,-0.19,-0.01,0.23,0.01,
0.29,-0.05,-0.02,-0.22,-0.01,0.23,0.01,
0.291,-0.05,-0.02,-0.22,-0.01,0.23,0.01,
0.291,-0.05,-0.02,-0.22,-0.01,0.25,0.01,
0.292,-0.05,-0.00,-0.29,-0.01,0.25,0.01,
0.292,-0.10,-0.01,-0.28,-0.01,0.25,0.01,
0.293,-0.10,-0.01,-0.28,-0.01,0.28,0.02,
0.293,-0.10,-0.01,-0.28,-0.01,0.30,0.02,
0.293,-0.19,-0.01,-0.25,-0.01,0.30,0.02,
0.294,-0.19,-0.01,-0.25,-0.00,0.30,0.02,
0.294,-0.20,0.04,-0.10,-0.00,0.30,0.02,
0.295,-0.20,0.04,-0.10,0.00,0.27,0.03,
0.295,-0.23,0.00,0.04,0.00,0.27,0.03,
0.296,-0.25,-0.04,0.09,0.00,0.27,0.03,
0.296,-0.25,-0.04,0.09,0.01,0.22,0.03,
0.296,-0.25,-0.03,0.10,0.01,0.22,0.03,
0.297,-0.25,-0.03,0.10,0.02,0.16,0.04,
0.297,-0.18,-0.07,0.09,0.02,0.16,0.04,
0.297,-0.18,-0.07,0.09,0.03,0.10,0.04,
0.298,-0.18,-0.07,0.09,0.04,0.05,0.04,
0.298,-0.03,-0.06,0.01,0.04,0.05,0.04,
0.299,-0.03,-0.06,0.01,0.04,0.02,0.04,
0.299,0.09,-0.00,-0.08,0.04,0.02,0.04,
0.299,0.09,-0.00,-0.08,0.05,0.01,0.04,
0.3,0.12,0.03,-0.17,0.05,0.01,0.04,
0.3,0.12,0.03,-0.17,0.04,0.03,0.03,
0.3,0.10,0.07,-0.28,0.04,0.03,0.03,
0.398,0.10,0.07,-0.28,0.03,0.05,0.02,
0.398,0.06,0.10,-0.34,0.03,0.05,0.02,
0.399,0.03,0.09,-0.38,0.03,0.05,0.02,
0.399,0.03,0.09,-0.38,0.03,0.07,0.02,
0.399,0.03,0.09,-0.38,0.02,0.09,0.01,
0.399,0.01,0.04,-0.36,0.02,0.09,0.01,
0.399,0.01,0.04,-0.36,0.01,0.11,0.01,
0.4,-0.04,0.03,-0.29,0.01,0.11,0.01,
0.4,-0.10,0.02,-0.24,0.01,0.11,0.01,
0.4,-0.10,0.02,-0.24,0.00,0.13,0.01,
0.401,-0.10,0.02,-0.24,-0.00,0.14,0.01,
0.401,-0.15,0.04,-0.24,-0.00,0.14,0.01,
0.401,-0.20,0.04,-0.19,-0.00,0.14,0.01,
0.402,-0.20,0.04,-0.19,-0.00,0.14,0.01,
0.402,-0.20,0.04,-0.19,0.00,0.13,0.02,
0.402,-0.16,0.07,-0.19,0.00,0.13,0.02,
0.402,-0.11,0.02,-0.19,0.00,0.13,0.02,
0.403,-0.11,0.02,-0.19,0.01,0.14,0.02,
0.403,-0.06,0.04,-0.22,0.01,0.14,0.02,
0.403,-0.06,0.04,-0.22,0.01,0.14,0.02,
0.404,-0.05,0.06,-0.29,0.01,0.14,0.02,
