time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.001000,-1.0011,1.1098,-2.0935,2.572
0.003000,-0.7833,1.2586,-2.4984,2.905
0.049000,-0.4709,1.3707,-2.8913,3.234
0.049000,-0.0842,1.5619,-3.0958,3.468
0.050000,1.0962,1.7756,-3.3370,3.936
0.050000,1.4825,1.7970,-2.8816,3.705
0.050000,0.3410,1.8598,-1.7876,2.602
0.051000,0.2767,2.0547,-2.1026,2.953
0.051000,-0.1849,1.9698,-1.8937,2.739
0.051000,-0.2330,1.8543,-1.7615,2.568
0.052000,-0.2369,1.6787,-1.6148,2.341
0.052000,-0.5014,1.5051,-1.4488,2.148
0.058000,-0.8165,1.3427,-1.3351,2.062
0.061000,-1.1659,1.2841,-1.2329,2.128
0.066000,-1.3664,1.2502,-1.1897,2.201
0.075000,-1.5170,1.3096,-1.1003,2.286
0.076000,-1.5200,1.4045,-1.0839,2.336
0.081000,-1.4304,1.4679,-1.1548,2.353
0.086000,-1.1838,1.4976,-1.3010,2.310
0.091000,-0.9211,1.5470,-1.4819,2.332
0.095000,-0.6417,1.6045,-1.6380,2.381
0.100000,-0.5414,1.7041,-1.7097,2.474
0.115000,-0.5456,1.8247,-1.7856,2.611
0.115000,-0.5853,1.9803,-1.8800,2.793
0.116000,-0.6183,2.1048,-1.8879,2.894
0.120000,-0.5733,2.1626,-1.8859,2.926
0.127000,-0.5181,2.1515,-1.7593,2.827
0.129000,-0.4319,2.1669,-1.5318,2.689
0.134000,-0.3221,2.2105,-1.2846,2.577
0.201000,-0.2332,2.1694,-1.0196,2.408
0.201000,-0.0717,2.1840,-0.8631,2.349
0.202000,0.0549,2.1531,-0.7908,2.294
0.202000,0.1427,2.1292,-0.7784,2.272
0.203000,0.2339,2.0793,-0.7328,2.217
0.203000,0.2733,1.9558,-0.6804,2.089
0.203000,0.3056,1.8693,-0.5711,1.978
0.203000,0.3197,1.7480,-0.5414,1.858
0.204000,0.3711,1.6807,-0.5506,1.807
0.204000,0.5581,1.7010,-0.5844,1.883
0.204000,0.7506,1.7609,-0.6116,2.010
0.204000,0.9951,1.8798,-0.7710,2.262
0.205000,1.2163,1.9118,-0.8833,2.432
0.205000,1.3409,1.7808,-0.9824,2.436
0.208000,1.4171,1.6016,-1.0923,2.401
0.213000,1.5764,1.4532,-1.2728,2.493
0.217000,1.6397,1.2797,-1.4608,2.542
0.230000,1.6398,1.1047,-1.6966,2.605
0.230000,1.4073,0.9114,-2.1011,2.688
0.232000,1.1314,0.6109,-2.5250,2.834
0.236000,1.0665,0.3641,-3.4027,3.584
0.242000,1.0791,0.0681,-4.0460,4.188
0.247000,0.7556,-0.2786,-3.9530,4.034
0.251000,0.3533,-0.5037,-3.9299,3.978
0.313000,-0.0308,-0.6284,-4.1127,4.161
0.314000,-0.2913,-0.7299,-4.4046,4.474
0.315000,-0.2892,-0.7425,-4.5236,4.593
0.315000,-0.0612,-0.6936,-4.7588,4.809
0.316000,0.2701,-0.6993,-5.3109,5.364
0.316000,0.6888,-0.8625,-6.1202,6.219
0.316000,1.1196,-1.2787,-6.6950,6.907
0.317000,3.1797,-1.5256,-6.6761,7.550
0.317000,3.0878,-2.1154,-6.7390,7.709
0.318000,2.3694,-2.7865,-6.9850,7.885
0.318000,1.7186,-3.2835,-6.5089,7.490
0.319000,1.2237,-3.6894,-5.5898,6.808
0.319000,1.5546,-4.3228,-5.1670,6.914
0.320000,2.5136,-5.0152,-5.2199,7.663
0.329000,3.6256,-5.6389,-5.5435,8.699
0.330000,4.8599,-6.2077,-6.0427,9.933
0.334000,5.9067,-6.6100,-6.3232,10.889
0.345000,6.2543,-6.9219,-6.5070,11.374
0.346000,5.9509,-7.1490,-6.8945,11.578
0.349000,5.3694,-7.4428,-7.5552,11.887
0.354000,3.6414,-7.7434,-7.7385,11.537
0.403000,1.5567,-8.2340,-8.0454,11.617
0.405000,-0.2582,-8.9552,-8.5718,12.399
0.405000,-1.5043,-9.5985,-9.1862,13.371
0.406000,-2.5274,-10.3051,-9.2741,14.092
0.407000,-3.4719,-11.3358,-9.0049,14.888
0.408000,-4.0233,-12.3493,-8.7546,15.663
0.408000,-4.0765,-13.3938,-8.5417,16.400
0.409000,-3.7993,-14.2127,-8.1875,16.837
0.409000,-3.8544,-14.9232,-7.5678,17.171
0.410000,-4.3998,-15.7194,-6.8210,17.691
0.410000,-5.3078,-16.8067,-6.1971,18.683
0.455000,-6.4709,-18.0590,-5.6729,20.004
0.456000,-7.8920,-19.1425,-5.2226,21.354
0.457000,-9.4106,-19.9737,-4.6526,22.564
0.458000,-10.7649,-20.5138,-3.9333,23.498
0.458000,-11.5756,-20.8863,-3.2096,24.094
0.459000,-11.6012,-21.2143,-2.6210,24.321
0.459000,-10.6135,-21.5083,-2.1548,24.081
0.460000,-8.9198,-21.8507,-1.7082,23.663
0.461000,-6.9171,-22.1425,-1.3407,23.236
0.461000,-5.0273,-22.2913,-0.9686,22.872
0.462000,-3.2148,-22.1794,-0.5427,22.418
0.467000,-1.3860,-21.8749,0.2465,21.920
0.471000,0.5299,-21.3879,1.3014,21.434
0.481000,2.4262,-20.7709,2.6290,21.077
0.482000,4.2083,-19.9385,4.1803,20.802
0.486000,5.9959,-19.0367,5.8594,20.801
0.550000,8.0960,-18.3674,7.4865,21.423
0.551000,10.2747,-18.2142,8.8612,22.712
0.552000,11.9340,-18.6150,9.8624,24.212
0.552000,12.3664,-19.3212,10.3756,25.177
