time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.002000,-2.7324,0.6864,1.3544,3.126
0.002000,-3.0328,0.5529,1.6246,3.485
0.005000,-3.1140,0.3954,1.9503,3.696
0.011000,-3.0695,0.3285,2.4054,3.914
0.015000,-2.8375,0.3471,2.9088,4.078
0.020000,-2.4660,0.4645,3.3818,4.211
0.029000,-2.0240,0.6132,3.7336,4.291
0.031000,-1.5971,0.7621,3.7803,4.174
0.035000,-1.2586,0.9379,3.5961,3.924
0.040000,-0.9649,1.1633,3.2361,3.572
0.089000,-0.6032,1.4941,2.8747,3.295
0.089000,-0.3130,1.8214,2.4137,3.040
0.090000,-0.1001,2.1225,1.8603,2.824
0.090000,0.2085,2.3772,1.2696,2.703
0.090000,0.6649,2.6828,0.8586,2.894
0.091000,1.1302,2.9539,0.7152,3.243
0.092000,1.4849,3.1671,0.8558,3.601
0.093000,1.4620,3.2027,1.1220,3.695
0.094000,1.2290,3.2179,1.3539,3.701
0.094000,0.8816,3.1885,1.4848,3.626
0.094000,0.4798,3.0801,1.5698,3.490
0.099000,0.0043,2.9377,1.4659,3.283
0.103000,-0.5481,2.9257,1.1545,3.193
0.109000,-1.0656,2.9058,0.7913,3.195
0.113000,-1.3675,2.9049,0.4191,3.238
0.118000,-1.4333,2.7873,0.0788,3.135
0.123000,-1.2900,2.5969,-0.1321,2.903
0.128000,-0.9376,2.3626,-0.1514,2.546
0.133000,-0.4352,2.1725,-0.0630,2.217
0.137000,0.4162,2.0665,0.0230,2.108
0.151000,1.5831,2.0317,0.1978,2.583
0.152000,2.6546,2.0810,0.2010,3.379
0.152000,3.4212,2.1156,-0.0934,4.024
0.157000,4.0323,2.1019,-0.6829,4.598
0.162000,4.7941,2.1050,-1.4000,5.420
0.167000,5.5583,2.1094,-2.0991,6.305
0.172000,6.0488,2.1377,-2.6654,6.947
0.238000,6.1377,2.1167,-3.0161,7.159
0.239000,5.8296,1.8917,-3.2571,6.941
0.241000,5.1766,1.4207,-3.4297,6.370
0.241000,4.3217,0.8027,-3.4391,5.581
0.242000,5.4524,0.0222,-4.1488,6.851
0.243000,2.9714,-0.7290,-2.9100,4.222
0.244000,1.0029,-1.0816,-2.7033,3.080
0.244000,-0.3058,-1.5267,-3.2570,3.610
0.245000,-1.7471,-2.0847,-3.5713,4.489
0.245000,-2.5973,-2.6139,-3.9874,5.429
0.246000,-3.4514,-2.9092,-3.8609,5.940
0.247000,-4.1061,-3.0247,-3.6684,6.282
0.248000,-4.6005,-3.0468,-3.5587,6.566
0.248000,-4.8150,-2.9550,-3.4151,6.601
0.249000,-4.5307,-2.9040,-3.5801,6.464
0.250000,-3.8007,-2.9246,-3.9966,6.243
0.255000,-2.9049,-2.9799,-4.6219,6.219
