time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.003000,-0.8949,-0.0398,-0.5391,1.046
0.003000,-0.8606,-0.0406,-0.2235,0.890
0.003000,-0.7005,-0.0375,0.1534,0.718
0.013000,-0.5222,0.0141,0.5579,0.764
0.014000,-0.3451,0.1059,0.9645,1.030
0.015000,-0.2171,0.1942,1.3925,1.423
0.020000,-0.1861,0.2209,1.7400,1.764
0.025000,-0.2283,0.2286,2.0031,2.029
0.029000,-0.3199,0.2266,2.2111,2.246
0.035000,-0.5299,0.1670,2.3494,2.414
0.040000,-0.7773,0.1026,2.3861,2.512
0.044000,-1.0641,0.0481,2.2589,2.497
0.049000,-1.3185,-0.1197,2.1542,2.528
0.055000,-1.4734,-0.2565,2.1292,2.602
0.059000,-1.5908,-0.4116,2.2195,2.762
0.064000,-1.6352,-0.5583,2.2943,2.872
0.069000,-1.7020,-0.6771,2.3249,2.960
0.074000,-1.7502,-0.7801,2.2799,2.978
0.079000,-1.8369,-0.8601,2.1712,2.971
0.083000,-1.9499,-0.9882,1.9052,2.900
0.089000,-2.5014,-1.3459,1.5298,3.226
0.094000,-2.7784,-1.4797,1.1438,3.349
0.098000,-2.9492,-1.3592,0.8433,3.355
0.103000,-2.8431,-1.0492,0.7528,3.123
0.108000,-2.6853,-0.6739,0.6412,2.842
0.113000,-2.3563,-0.2532,0.4431,2.411
0.117000,-1.8398,0.1314,0.3252,1.873
0.122000,-1.3747,0.3231,0.1967,1.426
0.127000,-0.9893,0.4090,-0.0001,1.071
0.132000,-0.7290,0.3458,-0.2302,0.839
0.137000,-0.4739,0.1979,-1.8044,1.876
0.143000,-0.1971,0.0942,-2.9292,2.937
0.146000,-0.7879,0.2986,-3.0145,3.130
0.151000,-0.8670,0.2275,-3.0365,3.166
0.159000,-0.2851,0.0545,-3.9607,3.971
0.161000,0.5935,-0.0141,-4.9695,5.005
0.166000,1.4479,0.0042,-5.4645,5.653
0.173000,1.9725,0.0528,-5.3292,5.683
0.176000,2.2492,0.1013,-4.6690,5.184
0.181000,2.1446,0.4834,-3.3246,3.986
0.186000,1.5350,0.7173,-2.2654,2.829
0.191000,1.1672,0.7836,-1.2356,1.872
0.196000,1.3705,1.1867,1.6091,2.424
0.200000,1.5299,1.7012,3.8224,4.455
0.206000,2.1368,1.9242,2.3655,3.723
