time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.001000,-0.0122,-0.0094,-0.0030,0.016
0.002000,-0.0051,-0.0094,0.0090,0.014
0.004000,-0.0172,0.0216,0.0161,0.032
0.010000,-0.0220,0.0001,0.0257,0.034
0.014000,-0.0293,-0.0047,0.0137,0.033
0.019000,-0.0101,-0.0070,0.0160,0.020
0.027000,-0.0053,0.0074,0.0255,0.027
0.030000,-0.0174,-0.0214,0.0040,0.028
0.035000,0.0113,-0.0118,0.0088,0.019
0.038000,-0.0151,-0.0214,0.0040,0.026
0.044000,0.0135,-0.0046,-0.0008,0.014
0.049000,-0.0057,0.0146,0.0302,0.034
0.053000,-0.0274,-0.0284,0.0254,0.047
0.060000,-0.0130,0.0074,0.0158,0.022
0.063000,-0.0154,-0.0140,-0.0009,0.021
0.068000,-0.0273,0.0028,0.0420,0.050
0.073000,-0.0201,-0.0115,0.0205,0.031
0.078000,-0.0153,-0.0066,0.0228,0.028
0.082000,-0.0153,-0.0137,0.0347,0.040
0.087000,-0.0248,-0.0232,0.0203,0.040
0.093000,-0.0250,-0.0207,0.0060,0.033
0.097000,0.0013,-0.0040,0.0107,0.011
0.103000,0.0036,-0.0063,-0.0036,0.008
0.107000,-0.0155,-0.0205,0.0155,0.030
0.112000,-0.0251,-0.0252,0.0226,0.042
0.117000,-0.0179,0.0225,0.0202,0.035
0.121000,0.0179,-0.0038,0.0010,0.018
0.127000,-0.0061,0.0082,0.0154,0.018
0.132000,0.0152,0.0131,0.0106,0.023
0.137000,-0.0135,0.0226,0.0344,0.043
0.152000,-0.0136,-0.0348,0.0105,0.039
0.152000,-0.0158,-0.0202,0.0199,0.032
0.153000,-0.0181,0.0131,0.0197,0.030
0.156000,-0.0251,-0.0012,0.0006,0.025
0.161000,0.0012,0.0202,0.0053,0.021
0.167000,-0.0060,-0.0013,0.0053,0.008
0.170000,-0.0130,0.0082,0.0242,0.029
0.177000,-0.0199,0.0129,0.0264,0.035
0.181000,0.0064,-0.0039,0.0095,0.012
0.186000,0.0112,0.0009,0.0095,0.015
0.192000,-0.0173,0.0128,0.0236,0.032
0.195000,0.0017,0.0008,0.0329,0.033
0.200000,-0.0244,0.0055,-0.0006,0.025
0.205000,-0.0360,-0.0087,-0.0196,0.042
0.210000,-0.0168,-0.0110,-0.0028,0.020
0.214000,-0.0238,-0.0109,-0.0028,0.026
0.219000,-0.0048,-0.0084,0.0068,0.012
