time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.003000,1.8719,-1.0431,-2.6805,3.432
0.004000,1.5917,-1.2355,-2.6375,3.319
0.004000,1.3280,-1.3620,-2.5700,3.197
0.005000,1.1416,-1.5002,-2.4823,3.117
0.005000,0.8987,-1.5450,-2.4553,3.037
0.006000,0.6572,-1.5859,-2.4595,2.999
0.010000,0.4076,-1.5848,-2.5111,2.997
0.013000,0.2307,-1.5775,-2.5958,3.046
0.017000,0.0503,-1.6238,-2.7777,3.218
0.022000,-0.0487,-1.6612,-3.0190,3.446
0.031000,-0.1749,-1.7202,-3.3385,3.760
0.032000,-0.2697,-1.8243,-3.7294,4.160
0.037000,-0.4021,-1.9224,-4.2016,4.638
0.045000,-0.5644,-2.0592,-4.6503,5.117
0.046000,-0.7664,-2.1356,-4.9971,5.488
0.051000,-0.9310,-2.1651,-5.1136,5.631
0.056000,-1.1340,-2.1403,-5.1358,5.678
0.092000,-1.3413,-2.1544,-5.1237,5.718
0.093000,-1.5122,-2.1544,-5.1205,5.757
0.093000,-1.6665,-2.1883,-5.1183,5.811
0.094000,-1.7753,-2.2728,-5.0910,5.851
0.094000,-1.8165,-2.3314,-5.0445,5.847
0.094000,-1.9047,-2.4938,-4.8063,5.740
0.095000,-2.1404,-2.6674,-4.3613,5.542
0.095000,-2.3741,-2.7459,-3.8062,5.260
0.100000,-2.5472,-2.6760,-3.3038,4.956
0.104000,-2.7172,-2.5615,-2.9773,4.776
0.114000,-2.8241,-2.5023,-2.9082,4.764
0.115000,-3.0458,-2.6272,-2.9648,4.997
0.120000,-3.2380,-2.8514,-3.0921,5.308
0.138000,-3.3880,-3.0431,-3.1821,5.556
0.139000,-3.5809,-3.0315,-3.2496,5.707
0.140000,-3.8047,-2.9248,-3.2208,5.780
0.141000,-3.9533,-2.8220,-3.0315,5.726
0.200000,-3.9710,-2.7937,-2.6673,5.540
0.200000,-3.8208,-2.9059,-2.1858,5.275
0.201000,-3.4927,-2.9628,-1.5717,4.842
0.202000,-2.9025,-2.8126,-0.9037,4.141
0.202000,-2.0120,-2.5226,-0.2212,3.234
0.203000,-0.9026,-2.1385,0.5246,2.380
0.204000,0.3044,-1.7446,1.4765,2.306
0.205000,1.7007,-1.3375,2.6954,3.456
0.205000,3.0486,-0.9322,4.0328,5.141
0.206000,4.2690,-0.5082,5.4860,6.970
0.206000,5.2408,-0.1284,6.9296,8.689
0.207000,5.9990,0.1813,8.2160,10.175
0.208000,6.3628,0.5572,9.2435,11.236
0.209000,6.4383,0.8350,9.8971,11.836
0.216000,6.1163,1.0465,10.3938,12.105
0.218000,5.5594,1.1529,10.9070,12.296
0.222000,4.9647,1.2808,11.4577,12.553
0.262000,4.4404,1.5069,11.7469,12.648
