time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.002000,-0.4276,0.0890,-1.4642,1.528
0.003000,-0.3366,-0.0474,-1.1295,1.180
0.004000,-0.2414,-0.1272,-0.8146,0.859
0.008000,-0.2302,-0.1370,-0.5335,0.597
0.011000,-0.1377,-0.0822,-0.2740,0.318
0.017000,-0.0232,-0.0400,-0.1746,0.181
0.022000,0.1683,0.0253,-0.1465,0.225
0.026000,0.2599,0.0612,-0.1992,0.333
0.031000,0.4048,0.1612,-0.1487,0.460
0.038000,0.4563,0.2516,-0.1005,0.531
0.041000,0.4411,0.3084,-0.0976,0.547
0.045000,0.3716,0.3776,-0.0780,0.535
0.051000,0.2363,0.3541,-0.0992,0.437
0.060000,0.2075,0.3533,-0.0896,0.419
0.061000,0.1491,0.3249,-0.0994,0.371
0.065000,-0.0155,0.2857,-0.0761,0.296
0.073000,0.0581,0.3005,0.0232,0.307
0.075000,0.0550,0.1683,0.0956,0.201
0.080000,-0.0312,0.0230,0.1460,0.151
0.085000,-0.0334,-0.0470,0.2818,0.288
0.090000,-0.1122,-0.0898,0.4242,0.448
0.095000,-0.2058,-0.2041,0.5328,0.606
0.099000,-0.3407,-0.2299,0.6889,0.802
0.104000,-0.4598,-0.3303,0.8880,1.053
0.110000,-0.4943,-0.4553,0.9842,1.192
0.114000,-0.5731,-0.5478,1.0447,1.311
0.120000,-0.6224,-0.6059,1.0434,1.358
0.124000,-0.6476,-0.6394,1.0617,1.398
0.129000,-0.6135,-0.5746,1.0520,1.347
0.134000,-0.5657,-0.5002,0.9880,1.244
0.145000,-0.4714,-0.3733,0.9274,1.105
0.145000,-0.2204,-0.2610,0.7888,0.860
0.148000,0.1484,-0.0653,0.5891,0.611
0.154000,0.5898,0.1446,0.4192,0.738
0.158000,0.9463,0.3260,0.1975,1.020
0.163000,1.1462,0.4147,-0.0400,1.220
0.168000,1.2194,0.5049,-0.3414,1.363
0.188000,1.2023,0.5282,-0.6306,1.457
0.189000,1.0977,0.5307,-0.8146,1.466
0.189000,0.9224,0.5014,-0.8842,1.373
0.190000,0.8371,0.4169,-0.8900,1.291
0.196000,0.7008,0.2966,-0.8272,1.124
0.197000,0.5187,0.1956,-0.7105,0.901
0.202000,0.3791,0.1138,-0.5374,0.667
0.213000,0.2291,0.0172,-0.3414,0.411
0.214000,0.0690,-0.0731,-0.0745,0.125
0.216000,-0.0128,-0.1527,0.1605,0.222
0.231000,-0.1768,-0.2175,0.4211,0.506
0.232000,-0.3037,-0.3304,0.6622,0.800
0.232000,-0.3529,-0.3722,0.8434,0.987
0.250000,-0.3346,-0.4272,0.9935,1.132
0.250000,-0.3636,-0.4482,1.0674,1.213
0.251000,-0.3804,-0.4639,1.0747,1.231
0.252000,-0.3587,-0.4721,1.0371,1.195
0.265000,-0.3292,-0.4417,0.9116,1.065
0.266000,-0.2176,-0.4344,0.7506,0.894
0.266000,0.0571,-0.5505,0.4420,0.708
0.271000,0.4342,-0.6380,0.0597,0.774
0.275000,0.0416,-0.1520,0.5434,0.566
0.280000,-0.1237,0.2440,0.3265,0.426
0.285000,-0.1554,0.4275,-0.2197,0.505
0.295000,-0.1495,0.3710,-0.6243,0.741
0.296000,-0.1390,0.3035,-0.7586,0.829
0.300000,-0.0279,0.2930,-0.8618,0.911
0.306000,0.0597,0.3396,-0.9508,1.011
0.309000,0.0676,0.2973,-0.8704,0.922
0.314000,0.0346,0.3045,-0.7235,0.786
0.318000,-0.0129,0.2794,-0.4935,0.567
0.324000,0.0057,0.2506,-0.2591,0.361
0.328000,0.0180,0.1651,0.0158,0.167
0.333000,0.0668,0.1060,0.3360,0.359
0.338000,0.0179,0.1444,0.6204,0.637
0.344000,-0.0087,0.1214,0.7666,0.776
0.348000,-0.0336,0.0968,0.7914,0.798
0.353000,-0.0166,-0.0039,0.7570,0.757
0.364000,-0.0205,-0.0583,0.7403,0.743
0.365000,-0.0382,-0.0569,0.6455,0.649
0.368000,-0.0071,-0.1144,0.4821,0.496
0.373000,-0.0218,-0.2112,0.2907,0.360
0.377000,-0.0723,-0.2607,0.1882,0.330
0.382000,-0.0839,-0.2720,0.0547,0.290
0.407000,-0.1018,-0.2547,-0.2603,0.378
0.407000,-0.1905,-0.2390,-0.5466,0.626
0.408000,-0.3192,-0.2125,-0.7470,0.840
0.408000,-0.4161,-0.1748,-0.9452,1.047
0.409000,-0.4244,-0.1829,-1.1198,1.211
0.412000,-0.4233,-0.1287,-1.2446,1.321
0.416000,-0.3532,0.0289,-1.2505,1.300
0.423000,-0.2969,0.1821,-1.1946,1.244
0.426000,-0.1639,0.3065,-1.1558,1.207
0.431000,-0.0835,0.4784,-1.0334,1.142
0.436000,0.0135,0.5684,-0.9972,1.148
0.442000,0.0956,0.6194,-0.9846,1.167
0.446000,0.0761,0.6174,-0.9263,1.116
0.451000,0.0278,0.6295,-0.8416,1.051
0.464000,-0.0784,0.5172,-0.7861,0.944
0.465000,-0.1840,0.4414,-0.7909,0.924
0.466000,-0.2590,0.2779,-0.7562,0.846
0.472000,-0.3374,0.1372,-0.7535,0.837
0.475000,-0.4124,0.0195,-0.6968,0.810
0.479000,-0.5139,-0.1084,-0.5409,0.754
0.485000,-0.6202,-0.2222,-0.2839,0.717
0.496000,-0.7930,-0.3679,-0.0260,0.875
0.497000,-0.7964,-0.4360,0.0418,0.909
0.499000,-0.8855,-0.3842,0.1499,0.977
0.508000,-2.4064,0.6906,0.1310,2.507
0.509000,-2.2977,0.5103,-0.0381,2.354
0.514000,-1.8118,0.1705,-0.2553,1.838
0.518000,-1.3477,-0.1715,-0.3986,1.416
0.523000,-0.7767,-0.3823,-0.6256,1.068
0.528000,-0.2951,-0.5150,-0.6729,0.897
0.533000,-1.0959,-1.2065,0.3694,1.671
0.539000,-1.4882,-1.5703,0.9300,2.355
0.543000,-0.8892,-1.2364,1.0598,1.855
0.548000,0.0366,-0.7669,1.1136,1.353
0.553000,0.8474,-0.3839,1.1868,1.508
0.558000,1.3337,-0.0247,1.4043,1.937
0.562000,1.3448,0.2509,1.8086,2.268
0.567000,1.3299,0.4427,1.8373,2.311
0.582000,1.4607,0.6025,1.6959,2.318
0.583000,1.4443,0.5507,1.6852,2.287
0.583000,1.2678,0.3456,1.6923,2.143
0.589000,0.9876,0.1170,1.6592,1.934
0.592000,0.7317,-0.0983,1.5809,1.745
0.597000,0.5314,-0.3110,1.4522,1.577
0.602000,0.3403,-0.3336,1.2559,1.343
0.619000,0.2902,-0.2635,1.0301,1.102
0.620000,0.2396,-0.0981,0.8108,0.851
0.620000,0.3033,0.1320,0.5812,0.669
0.620000,0.3893,0.2787,0.3749,0.608
0.626000,0.4664,0.3664,0.2637,0.649
0.631000,0.4752,0.4169,0.2257,0.671
0.636000,0.5161,0.4095,0.2060,0.690
0.641000,0.6176,0.3847,0.1949,0.753
0.646000,0.4233,0.1517,-0.0966,0.460
0.650000,0.2847,-0.1864,-0.5080,0.611
0.656000,0.4144,-0.3142,-0.4728,0.703
0.661000,0.9530,-0.4045,-0.3899,1.106
0.665000,1.3459,-0.3961,-0.4330,1.468
0.670000,1.7129,-0.3324,-0.7002,1.880
0.675000,1.9293,-0.1868,-1.0816,2.220
0.680000,1.9677,-0.0306,-1.4677,2.455
0.685000,1.6820,0.2331,-1.9754,2.605
0.699000,1.1407,0.4678,-2.3727,2.674
0.700000,0.4309,0.7088,-2.6449,2.772
0.701000,-0.1890,0.8574,-2.7470,2.884
0.706000,-0.4155,0.8788,-2.7773,2.942
0.709000,-0.3703,0.7924,-2.5950,2.738
0.714000,-0.2515,0.6720,-2.3175,2.426
0.719000,0.3405,0.4526,-2.1435,2.217
0.735000,1.4407,0.1593,-1.8241,2.330
0.736000,1.8542,0.0569,-1.4216,2.337
0.736000,1.8635,0.1865,-0.9215,2.087
0.742000,1.5814,0.3460,-0.4196,1.672
0.743000,1.4209,0.6039,0.0654,1.545
0.748000,1.2118,0.7414,0.3191,1.456
0.753000,1.0574,0.8195,0.2730,1.365
0.758000,1.1168,0.8889,0.1841,1.439
0.762000,1.0867,0.8199,0.4692,1.440
0.767000,1.2742,0.7322,0.6241,1.597
0.773000,1.5763,0.5592,0.7901,1.850
0.777000,1.8389,0.5949,1.1389,2.243
0.782000,1.6998,0.8705,1.7183,2.569
0.787000,1.4510,1.3733,2.2239,2.989
0.792000,1.5101,1.7449,2.4858,3.392
0.796000,1.7835,1.9878,2.7287,3.818
0.802000,2.1797,2.1858,3.0093,4.311
0.808000,2.2935,2.3935,3.1361,4.563
0.811000,2.1703,2.5969,2.9949,4.519
0.816000,1.8696,2.8257,2.9654,4.503
0.821000,2.0137,2.6728,3.2456,4.662
0.835000,1.9082,2.9168,3.6706,5.062
0.836000,1.7545,3.2473,4.0178,5.456
0.837000,1.7421,3.4175,4.4603,5.883
0.843000,1.8047,3.7800,5.2598,6.724
0.845000,2.2833,4.3400,6.3470,8.021
0.850000,3.0629,5.0368,7.7276,9.719
0.856000,3.9641,5.6469,9.2540,11.543
0.860000,4.9450,6.0577,10.6800,13.237
0.865000,5.7520,6.4214,11.8862,14.683
0.870000,6.5735,6.7595,12.8655,15.951
0.879000,7.3602,7.0677,13.8922,17.237
0.880000,8.3346,7.2559,14.9585,18.598
0.885000,9.5806,7.1045,15.8918,19.870
0.911000,10.9016,6.7294,16.8391,21.159
0.913000,11.7892,6.0198,17.7121,22.112
0.915000,12.4694,5.2139,18.3594,22.798
0.916000,13.3996,4.3413,18.5643,23.303
0.917000,13.9810,3.5296,18.9657,23.825
0.918000,14.0225,2.7135,19.2624,23.980
0.919000,12.8537,1.8011,19.4932,23.419
0.924000,10.7735,0.6862,19.4146,22.214
0.930000,9.5379,-0.2887,18.9243,21.194
0.933000,9.1741,-1.1110,18.4607,20.645
0.938000,9.0703,-1.9239,17.8722,20.134
0.949000,8.8633,-2.7001,16.9481,19.315
0.951000,8.7636,-3.4102,15.8712,18.448
0.954000,8.7279,-3.8816,14.7046,17.535
0.958000,8.6377,-4.2016,13.4570,16.533
0.963000,8.5626,-4.5740,12.1507,15.552
0.967000,8.7280,-4.9541,10.7288,14.691
0.972000,9.1269,-5.3539,9.4097,14.160
0.978000,9.6362,-5.7128,8.3951,13.999
0.982000,10.2547,-6.0295,8.8517,14.828
0.987000,10.1267,-6.7904,8.1087,14.643
0.992000,10.9124,-7.1526,7.3513,14.976
0.997000,10.7219,-7.5105,7.8754,15.277
1.002000,10.0491,-8.5309,7.4540,15.143
1.010000,9.9070,-9.3983,6.6704,15.198
1.012000,9.8493,-9.7321,6.0290,15.102
1.016000,9.1167,-10.4196,5.3431,14.840
1.021000,8.4001,-11.1811,4.6996,14.753
1.033000,7.9240,-11.8352,4.2999,14.878
1.035000,7.4566,-12.3782,4.0524,15.008
1.036000,6.8341,-12.9426,3.7723,15.114
1.041000,6.1241,-13.4575,3.4190,15.176
1.046000,5.2676,-13.9439,3.0922,15.223
1.051000,4.0373,-14.3834,2.6991,15.181
1.057000,2.8066,-14.6109,2.3397,15.061
1.061000,1.8956,-14.5161,1.9919,14.774
1.065000,1.6084,-14.4128,1.6453,14.595
1.070000,1.6283,-14.4971,1.1648,14.635
