time,gFx,gFy,gFz,TgF
0.624000,1.3352,0.7142,-0.5158,1.600
0.624000,1.4754,0.7684,-0.4093,1.713
0.628000,1.5987,0.8285,-0.3266,1.830
0.633000,1.6963,0.8693,-0.2628,1.924
0.638000,1.8072,0.8935,-0.2311,2.029
0.643000,1.9520,0.9052,-0.2426,2.165
0.648000,2.1034,0.9142,-0.3014,2.313
0.653000,2.2294,0.9220,-0.4103,2.447
0.657000,2.3209,0.9323,-0.5641,2.564
0.662000,2.3915,0.9445,-0.7392,2.675
0.667000,2.4650,0.9533,-0.9197,2.798
0.672000,2.5746,0.9594,-1.0776,2.951
0.677000,2.7123,0.9499,-1.2134,3.119
0.691000,2.8551,0.9125,-1.3184,3.275
0.692000,2.9975,0.8668,-1.3731,3.409
0.692000,3.1469,0.8126,-1.3689,3.527
0.698000,3.3003,0.7511,-1.3045,3.627
0.730000,3.4546,0.6854,-1.1829,3.715
0.731000,3.6187,0.6215,-1.0220,3.811
0.732000,3.7840,0.5599,-0.8401,3.916
0.733000,3.9478,0.4967,-0.6535,4.032
0.733000,4.0892,0.4298,-0.4609,4.137
0.733000,4.2127,0.3629,-0.2702,4.237
0.734000,4.3077,0.2916,-0.0929,4.319
0.743000,4.3861,0.2261,0.0753,4.393
0.743000,4.4371,0.1634,0.2194,4.446
0.745000,4.4500,0.0911,0.3349,4.464
0.750000,4.4598,-0.0253,0.4194,4.480
0.755000,4.4452,-0.1604,0.5002,4.476
0.760000,4.4320,-0.2951,0.5822,4.480
0.767000,4.4293,-0.4238,0.6669,4.499
0.770000,4.4452,-0.5439,0.7629,4.543
0.774000,4.4517,-0.6633,0.8576,4.582
0.779000,4.4039,-0.8040,0.9365,4.574
0.784000,4.2928,-0.9781,0.9756,4.510
0.789000,4.1629,-1.1551,0.9905,4.432
0.795000,4.0159,-1.3304,1.0185,4.351
0.807000,3.8074,-1.5206,1.0144,4.223
0.808000,3.5437,-1.7108,0.9548,4.049
0.812000,3.2360,-1.8666,0.8410,3.829
0.813000,2.9054,-1.9489,0.7141,3.571
0.818000,2.6037,-1.9535,0.6042,3.311
0.824000,2.3712,-1.8942,0.4906,3.074
0.828000,2.2076,-1.7816,0.3456,2.858
0.851000,2.1180,-1.6483,0.2118,2.692
0.852000,2.0968,-1.5231,0.0812,2.593
0.852000,2.1700,-1.4088,-0.0243,2.587
0.853000,2.3573,-1.3114,-0.1166,2.700
0.853000,2.6342,-1.2198,-0.2033,2.910
0.857000,2.9435,-1.1287,-0.2912,3.166
0.862000,3.2429,-1.0206,-0.4001,3.423
0.867000,3.5161,-0.8965,-0.5253,3.666
0.873000,3.7319,-0.7888,-0.6481,3.869
0.878000,3.8443,-0.7239,-0.7524,3.984
0.888000,3.8518,-0.7146,-0.8188,4.002
0.888000,3.7901,-0.7407,-0.8115,3.946
0.891000,3.6836,-0.7759,-0.7309,3.835
0.898000,3.5537,-0.8045,-0.5583,3.686
0.911000,3.4250,-0.8286,-0.3300,3.539
0.912000,3.3247,-0.8440,-0.0612,3.431
0.912000,3.2595,-0.8465,0.2257,3.375
0.918000,3.1970,-0.8367,0.5346,3.348
0.921000,3.1335,-0.8103,0.8391,3.344
0.928000,3.0471,-0.7615,1.1130,3.332
0.931000,2.9382,-0.7017,1.3399,3.305
0.938000,2.8266,-0.6441,1.5154,3.271
0.940000,2.7401,-0.5791,1.6563,3.254
0.945000,2.6669,-0.5212,1.7449,3.229
0.950000,2.5988,-0.4873,1.7879,3.192
0.955000,2.5136,-0.4736,1.8028,3.129
0.960000,2.4073,-0.4641,1.8155,3.051
0.969000,2.2748,-0.4480,1.8235,2.950
0.970000,2.1202,-0.4233,1.8358,2.836
0.974000,1.9324,-0.4001,1.8436,2.701
0.979000,1.7171,-0.3855,1.8331,2.541
0.986000,1.4868,-0.3796,1.8140,2.376
0.990000,1.2669,-0.3730,1.7933,2.227
0.994000,1.0608,-0.3574,1.7696,2.094
