time,gFx,gFy,gFz,TgF
0.002000,-0.1312,0.5482,0.6572,0.866
0.002000,-0.0966,0.5665,0.6823,0.892
0.005000,-0.0590,0.5802,0.7265,0.932
0.009000,-0.0211,0.5973,0.7895,0.990
0.015000,0.0004,0.6029,0.8586,1.049
0.019000,0.0079,0.6024,0.9309,1.109
0.024000,0.0023,0.5963,0.9885,1.154
0.029000,-0.0228,0.5839,0.9990,1.157
0.034000,-0.0514,0.5746,0.9975,1.152
0.044000,-0.0682,0.5738,0.9892,1.146
0.045000,-0.0660,0.5863,0.9792,1.143
0.048000,-0.0636,0.6102,0.9748,1.152
0.054000,-0.0878,0.6302,0.9802,1.169
0.091000,-0.1286,0.6486,0.9887,1.189
0.091000,-0.1735,0.6644,0.9975,1.211
0.091000,-0.2128,0.6866,1.0029,1.234
0.092000,-0.2399,0.7067,1.0073,1.254
0.092000,-0.2477,0.7396,1.0176,1.282
0.092000,-0.2406,0.7736,1.0373,1.316
0.093000,-0.2121,0.8092,1.0698,1.358
0.093000,-0.1745,0.8471,1.1211,1.416
0.099000,-0.1232,0.8883,1.1858,1.487
0.102000,-0.0587,0.9389,1.2603,1.573
0.112000,0.0280,0.9884,1.3438,1.668
0.113000,0.0460,0.9772,1.5054,1.795
0.117000,0.1632,1.0282,1.5887,1.899
0.122000,0.3305,1.1564,1.6128,2.012
0.127000,0.4587,1.2866,1.6353,2.131
0.133000,0.5129,1.3859,1.6565,2.220
0.137000,0.5175,1.4343,1.6795,2.268
0.153000,0.5087,1.4582,1.7093,2.304
0.154000,0.5370,1.4777,1.7422,2.347
0.154000,0.5773,1.5002,1.7601,2.384
0.160000,0.5898,1.5234,1.7776,2.414
0.160000,0.5532,1.5520,1.8094,2.447
0.166000,0.4916,1.5793,1.8638,2.492
0.171000,0.4250,1.5976,1.9332,2.544
0.208000,0.3981,1.6072,2.0033,2.599
0.209000,0.4128,1.6084,2.0868,2.667
0.209000,0.4482,1.6101,2.1803,2.747
0.210000,0.4924,1.6176,2.2694,2.830
0.210000,0.5539,1.6262,2.3602,2.919
0.211000,0.6342,1.6369,2.4591,3.021
0.211000,0.7167,1.6416,2.5648,3.128
0.211000,0.7868,1.6284,2.6696,3.225
0.217000,0.8293,1.5920,2.7651,3.297
0.219000,0.8393,1.5359,2.8451,3.340
0.226000,0.8415,1.4819,2.9059,3.369
0.230000,0.8327,1.4426,2.9299,3.370
0.234000,0.8247,1.4106,2.9216,3.347
0.240000,0.8171,1.3781,2.8879,3.303
0.244000,0.8044,1.3373,2.8349,3.236
0.249000,0.7915,1.2961,2.7585,3.149
0.254000,0.7766,1.2673,2.6676,3.054
0.265000,0.7543,1.2648,2.5668,2.959
0.265000,0.7395,1.2636,2.4669,2.869
0.268000,0.7485,1.2675,2.3651,2.786
0.275000,0.9048,1.2079,2.2936,2.746
0.278000,0.8122,1.1838,2.1480,2.584
0.283000,0.6923,1.1713,2.0133,2.430
0.288000,0.6205,1.1291,1.8865,2.284
0.312000,0.5659,1.0548,1.7486,2.119
0.313000,0.5151,0.9691,1.6026,1.942
0.314000,0.4885,0.8842,1.4807,1.792
0.314000,0.4909,0.8217,1.3945,1.691
0.314000,0.4982,0.7697,1.3259,1.612
0.321000,0.5031,0.7221,1.2839,1.557
0.321000,0.4968,0.6669,1.2744,1.522
0.333000,0.4838,0.5936,1.2993,1.508
0.334000,0.4631,0.5038,1.3408,1.505
0.336000,0.4391,0.4146,1.3599,1.488
0.349000,0.3688,0.3573,1.3557,1.450
0.349000,0.3774,0.2037,1.2649,1.336
0.351000,0.3166,0.0606,1.1953,1.238
0.356000,0.2167,-0.0244,1.1794,1.199
0.364000,0.1239,-0.0876,1.1995,1.209
0.366000,0.0831,-0.1865,1.2192,1.236
0.371000,0.0709,-0.3227,1.1990,1.244
0.383000,0.0668,-0.4695,1.1411,1.236
0.384000,0.0529,-0.5745,1.0723,1.218
0.389000,0.0438,-0.6489,1.0051,1.197
0.390000,0.0665,-0.7373,0.9106,1.174
0.446000,0.0905,-0.8308,0.7812,1.144
0.446000,0.1029,-0.9012,0.6442,1.113
0.447000,0.0897,-0.9720,0.4909,1.093
0.447000,0.0443,-1.0203,0.3590,1.083
0.447000,0.0018,-1.0594,0.2377,1.086
0.448000,-0.0294,-1.0909,0.1220,1.098
