time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.003000,0.3054,0.3810,1.0035,1.116
0.003000,0.3839,0.3074,0.9920,1.107
0.010000,0.3548,0.2471,0.9193,1.016
0.010000,0.2517,0.2075,0.7615,0.828
0.017000,0.0386,0.1864,0.5184,0.552
0.021000,-0.1050,0.2128,0.3716,0.441
0.025000,-0.1487,0.2679,0.2705,0.409
0.043000,-0.1646,0.2060,0.1242,0.291
0.044000,-0.1389,0.1516,-0.0149,0.206
0.044000,-0.1579,0.0975,-0.1229,0.223
0.044000,-0.1745,0.1419,-0.2166,0.312
0.050000,-0.2708,0.1484,-0.2889,0.423
0.054000,-0.3186,0.1812,-0.2729,0.457
0.059000,-0.3972,0.1377,-0.2142,0.472
0.091000,-0.4019,0.1013,-0.0552,0.418
0.092000,-0.3448,0.0765,0.0845,0.363
0.092000,-0.2454,0.0365,0.1956,0.316
0.092000,-0.1272,0.0553,0.3095,0.339
0.092000,0.0194,0.0417,0.4192,0.422
0.093000,0.1347,0.0003,0.5917,0.607
0.093000,0.2960,0.0292,0.7289,0.787
0.106000,0.4961,0.0061,0.8695,1.001
0.107000,0.5585,0.0505,0.9417,1.096
0.108000,0.5438,0.0547,0.9314,1.080
0.113000,0.4479,0.0190,0.8458,0.957
0.122000,0.2759,-0.0133,0.6967,0.749
0.122000,0.1259,-0.0205,0.5774,0.591
0.127000,0.0200,-0.0474,0.4491,0.452
0.139000,-0.0659,-0.0889,0.2808,0.302
0.139000,-0.1004,-0.1065,0.2417,0.283
0.142000,-0.1284,-0.1332,0.2122,0.282
0.164000,-0.1022,-0.1356,0.2135,0.273
0.165000,-0.1510,-0.1566,0.1932,0.291
0.166000,-0.2178,-0.1080,0.1274,0.274
0.166000,-0.3077,-0.1259,0.0543,0.337
0.167000,-0.3088,-0.1222,0.0720,0.340
0.173000,-0.3148,-0.1611,0.0511,0.357
0.179000,-0.3068,-0.1498,0.0519,0.345
0.221000,-0.3450,-0.1482,0.0072,0.375
0.221000,-0.3097,-0.1562,-0.0564,0.351
0.221000,-0.2974,-0.2027,-0.1701,0.398
0.221000,-0.3228,-0.1777,-0.3506,0.509
0.222000,-0.3125,-0.1458,-0.4041,0.531
0.222000,-0.2783,-0.1093,-0.5126,0.593
0.222000,-0.2012,-0.0610,-0.6210,0.656
0.223000,-0.0932,-0.0007,-0.7271,0.733
0.223000,-0.0040,-0.0141,-0.7976,0.798
0.228000,0.1005,0.0402,-0.8351,0.842
0.230000,0.1582,0.0881,-0.8732,0.892
0.240000,0.1770,0.1225,-0.8833,0.909
0.240000,0.1950,0.1172,-0.8844,0.913
0.244000,0.1406,0.0985,-0.8766,0.893
0.260000,0.0569,0.0185,-0.8191,0.821
0.260000,-0.0588,-0.0632,-0.7646,0.769
0.261000,-0.2016,-0.1135,-0.6792,0.718
0.326000,-0.4530,-0.1420,-0.6203,0.781
0.327000,-0.6576,-0.2328,-0.5925,0.915
0.327000,-0.8775,-0.2902,-0.6003,1.102
0.327000,-1.0271,-0.2904,-0.5744,1.212
0.328000,-1.1597,-0.3196,-0.6032,1.346
0.328000,-1.2278,-0.3638,-0.6196,1.423
0.328000,-1.2794,-0.3771,-0.7552,1.533
