time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.002000,0.3317,0.1479,-0.5651,0.672
0.002000,0.4497,0.1518,-0.4342,0.643
0.009000,0.5907,0.0639,-0.3257,0.678
0.010000,0.6667,-0.0585,-0.0865,0.675
0.016000,0.7161,-0.1801,0.2550,0.781
0.021000,0.7655,-0.2107,0.5437,0.962
0.028000,0.7763,-0.1825,0.8709,1.181
0.031000,0.7905,-0.1704,1.0437,1.320
0.035000,0.7500,-0.1345,1.1103,1.347
0.055000,0.6901,-0.1255,1.0473,1.260
0.056000,0.5221,-0.1312,0.9264,1.071
0.056000,0.3799,-0.0773,0.7763,0.868
0.057000,0.2927,-0.0757,0.5227,0.604
0.068000,0.2392,-0.1021,0.2131,0.336
0.069000,0.1631,-0.1529,-0.1146,0.251
0.069000,0.0959,-0.2203,-0.5161,0.569
0.078000,-0.0004,-0.2721,-0.8961,0.937
0.079000,-0.0445,-0.2309,-1.1982,1.221
0.084000,-0.1039,-0.2183,-1.3628,1.384
0.088000,-0.1523,-0.1860,-1.4886,1.508
0.094000,-0.1635,-0.1769,-1.4681,1.488
0.099000,-0.2030,-0.1933,-1.2752,1.306
0.103000,-0.2952,-0.2239,-0.9457,1.016
0.117000,-0.4492,-0.3647,-0.5294,0.784
0.117000,-0.6425,-0.4660,-0.1217,0.803
0.118000,-0.7137,-0.5595,0.1372,0.917
0.125000,-0.7698,-0.6531,0.3075,1.055
0.129000,-0.7295,-0.6873,0.3010,1.046
0.133000,-0.7764,-0.6553,0.2258,1.041
0.138000,-0.7382,-0.6190,0.0028,0.963
0.155000,-0.7080,-0.6213,-0.2148,0.966
0.156000,-0.6903,-0.6112,-0.3536,0.987
0.156000,-0.6949,-0.6050,-0.5046,1.050
0.158000,-0.7030,-0.5448,-0.6179,1.083
0.163000,-0.8566,-0.4831,-0.6651,1.187
0.167000,-1.0653,-0.3645,-0.6107,1.281
0.172000,-1.1792,-0.2823,-0.5287,1.323
0.177000,-1.3929,-0.1600,-0.4026,1.459
0.181000,-1.6149,0.0428,-0.2896,1.641
0.186000,-1.7784,0.1417,-0.2804,1.806
0.191000,-1.8351,0.2877,-0.3538,1.891
0.197000,-1.3532,0.2849,-0.3162,1.419
0.201000,-0.6230,0.2407,-0.2296,0.706
0.206000,0.1351,0.3125,-0.0769,0.349
0.211000,0.5594,0.4303,0.1278,0.717
0.216000,0.7609,0.6076,0.3467,1.034
0.221000,0.7020,0.8009,0.5085,1.180
0.234000,0.5904,0.9736,0.5131,1.249
0.235000,0.4808,1.0991,0.4686,1.288
0.236000,0.4015,1.1488,0.4609,1.301
0.241000,0.3430,1.1348,0.4040,1.252
0.245000,0.1549,0.9837,0.3167,1.045
0.250000,-0.1013,0.8893,0.2467,0.928
0.255000,-0.3949,0.6965,0.1507,0.815
0.269000,-0.6139,0.5565,0.1289,0.839
0.269000,-0.8179,0.4310,0.1118,0.931
0.269000,-0.9933,0.3084,0.2618,1.072
0.276000,-1.1680,0.2428,0.5527,1.315
0.279000,-1.1379,0.2906,0.5618,1.302
0.284000,-1.0336,0.2733,0.6931,1.274
0.288000,-0.9361,0.2225,1.0154,1.399
0.293000,-0.8851,0.0851,1.2326,1.520
0.299000,-0.8257,-0.0552,1.3399,1.575
0.303000,-0.7604,-0.1508,1.4453,1.640
0.309000,-0.6677,-0.2500,1.6088,1.760
0.313000,-0.6195,-0.3076,1.7658,1.896
0.318000,-0.5464,-0.3409,1.8402,1.950
0.323000,-0.5055,-0.4263,1.9109,2.022
0.328000,-0.4221,-0.4923,2.0139,2.116
0.333000,-0.3838,-0.5059,2.0538,2.150
0.338000,-0.3469,-0.5417,2.1123,2.208
0.352000,-0.3449,-0.5232,2.1224,2.213
0.353000,-0.3316,-0.4986,2.1129,2.196
0.353000,-0.2834,-0.4442,2.0579,2.124
0.358000,-0.1950,-0.4029,1.9619,2.012
0.364000,-0.0901,-0.3433,1.8727,1.906
0.367000,-0.0189,-0.3060,1.7401,1.767
0.371000,0.0809,-0.2138,1.5996,1.616
0.395000,0.1065,-0.2005,1.3843,1.403
0.396000,0.1919,-0.1650,1.1488,1.176
