time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.003000,0.1030,-0.0113,-3.4018,3.403
0.004000,0.4715,-0.0176,-3.2125,3.247
0.011000,0.8140,-0.0693,-2.9736,3.084
0.012000,1.0435,-0.1734,-2.6780,2.879
0.016000,1.1434,-0.3325,-2.3668,2.649
0.021000,1.2123,-0.5042,-1.9752,2.372
0.034000,1.2937,-0.6560,-1.5389,2.115
0.035000,0.8498,-0.8111,-1.3913,1.821
0.036000,0.2185,-0.7172,-1.3498,1.544
0.042000,-0.6454,-0.8297,-1.4299,1.775
0.047000,-1.2199,-1.1004,-1.5453,2.255
0.050000,-1.5116,-1.3621,-1.5355,2.549
0.055000,-1.6588,-1.5363,-1.6537,2.801
0.063000,-1.7147,-1.5735,-1.8826,2.993
0.065000,-1.7179,-1.4980,-2.1431,3.129
0.070000,-1.7383,-1.3285,-2.3852,3.237
0.075000,-1.4658,-1.1892,-2.5230,3.151
0.080000,-1.3579,-1.0350,-2.5588,3.076
0.084000,-1.7969,-1.0215,-2.9724,3.620
0.091000,-2.0064,-1.0398,-3.3197,4.016
0.094000,-1.8374,-0.8399,-3.4562,4.003
0.099000,-1.7248,-0.7373,-3.4851,3.958
0.104000,-1.5294,-0.8463,-3.4927,3.906
0.112000,-1.4328,-0.8025,-3.3077,3.693
0.114000,-1.4959,-0.5799,-2.7683,3.200
0.118000,-1.4866,-0.3426,-2.2952,2.756
0.126000,-1.2966,-0.1848,-2.0314,2.417
0.128000,-1.1691,-0.1254,-1.8261,2.172
0.133000,-1.0664,-0.0950,-1.6480,1.965
0.138000,-1.0577,-0.0267,-1.4637,1.806
0.148000,-1.1402,0.0813,-1.2420,1.688
0.148000,-1.2713,0.1357,-1.0974,1.685
0.153000,-1.5153,0.1775,-0.8868,1.765
0.158000,-1.7794,0.2882,-0.6413,1.913
0.163000,-2.0386,0.3076,-0.4705,2.115
0.167000,-2.3983,0.2577,-0.2025,2.421
0.173000,-2.5850,0.1696,0.0101,2.591
0.178000,-2.7495,0.0460,0.1528,2.754
0.183000,-2.9587,0.0116,0.4595,2.994
0.187000,-3.1081,0.0346,0.7013,3.186
0.193000,-3.2597,0.2790,0.8116,3.371
0.197000,-3.3585,0.6285,0.9531,3.547
0.202000,-3.3528,0.9529,1.0210,3.632
0.208000,-3.2636,1.0748,0.8746,3.546
0.212000,-2.9189,1.3671,0.5384,3.268
0.217000,-2.1768,1.7441,0.2990,2.805
0.222000,-1.2194,2.1450,0.2254,2.478
0.228000,-0.3159,2.6349,0.0019,2.654
0.232000,0.5127,3.1131,-0.4077,3.181
0.236000,0.9409,3.4241,-0.7341,3.626
0.243000,0.9762,3.5420,-0.7994,3.760
0.245000,0.7789,3.6045,-0.4088,3.710
0.250000,0.5192,3.5715,0.3958,3.631
0.255000,0.1288,3.3470,1.4539,3.651
0.269000,-0.3239,3.0521,2.5862,4.014
0.270000,-0.5563,2.6161,3.5306,4.429
0.270000,-0.6234,2.1162,4.1666,4.715
0.280000,-0.8724,1.4397,4.3137,4.631
0.280000,-1.0713,0.9458,4.5677,4.786
0.284000,-1.3450,0.6267,4.9019,5.122
0.288000,-1.5499,0.2869,5.0706,5.310
0.294000,-1.6876,-0.0654,5.1057,5.378
0.299000,-1.9453,-0.3969,5.0648,5.440
0.303000,-2.1037,-0.6965,4.9582,5.431
0.308000,-2.0340,-0.9363,4.7771,5.276
