time,gFx,gFy,gFz,TgF
0.617000,1.3993,-4.9253,0.5595,5.151
0.620000,1.4754,-4.8831,0.7387,5.154
0.638000,1.6359,-4.9175,0.8830,5.257
0.641000,1.7787,-5.0308,0.9807,5.425
0.642000,1.8124,-5.1869,1.0906,5.602
0.642000,1.6959,-5.3539,1.2234,5.748
0.643000,1.4520,-5.4825,1.3242,5.824
0.648000,1.0862,-5.6066,1.3213,5.862
0.653000,0.6109,-5.6996,1.1956,5.856
0.659000,0.1196,-5.7565,0.9658,5.838
0.663000,-0.3087,-5.8327,0.6779,5.880
0.667000,-0.6771,-5.9447,0.3705,5.995
0.673000,-1.0490,-6.0019,0.1117,6.094
0.677000,-1.3950,-5.8942,0.0145,6.057
0.682000,-1.6443,-5.6942,0.0619,5.927
0.687000,-1.7895,-5.5553,0.1591,5.839
0.692000,-1.8074,-5.5045,0.2365,5.798
0.697000,-1.8110,-5.4774,0.3002,5.777
0.702000,-1.9375,-5.4557,0.3232,5.799
0.714000,-2.1702,-5.4149,0.3022,5.841
0.715000,-2.4676,-5.3675,0.2477,5.913
0.716000,-2.7970,-5.3214,0.1754,6.014
0.721000,-3.0538,-5.2723,0.0936,6.094
0.726000,-3.1972,-5.2157,0.0651,6.118
0.730000,-3.2423,-5.1536,0.1098,6.090
0.735000,-3.1994,-5.1075,0.2003,6.030
0.744000,-3.0926,-5.0858,0.3119,5.960
0.745000,-2.9261,-5.0855,0.3862,5.880
0.750000,-2.7137,-5.1112,0.3876,5.800
0.754000,-2.4522,-5.1505,0.3119,5.713
0.760000,-2.1519,-5.1844,0.2052,5.617
0.765000,-1.8433,-5.2342,0.0946,5.550
0.770000,-1.4958,-5.3143,-0.0297,5.521
0.775000,-1.0563,-5.3673,-0.1171,5.471
0.779000,-0.4898,-5.1654,0.1117,5.190
0.784000,-0.0865,-5.6408,-0.3844,5.654
0.790000,0.2519,-5.9579,-0.5988,5.993
0.795000,0.8274,-5.8861,-0.5915,5.973
0.799000,1.3380,-5.8900,-0.5461,6.065
0.804000,1.8410,-6.0868,-0.6169,6.389
0.809000,2.4567,-6.2717,-0.7067,6.773
0.814000,3.0730,-6.3681,-0.7631,7.112
0.819000,3.5899,-6.4104,-0.8164,7.392
0.833000,4.0250,-6.4621,-0.8903,7.665
0.835000,4.4736,-6.5757,-0.9868,8.014
0.835000,5.0193,-6.7192,-1.0869,8.457
0.838000,5.6836,-6.8296,-1.0796,8.951
0.843000,6.5741,-6.8384,-0.8325,9.522
0.847000,7.6514,-6.7292,-0.3622,10.196
0.852000,7.9939,-6.5522,0.1117,10.337
0.866000,7.9939,-6.3171,0.5099,10.201
0.867000,7.9939,-5.9298,0.8596,9.990
0.868000,7.9939,-5.4889,1.0769,9.757
0.872000,7.9939,-5.1324,0.9844,9.551
0.889000,7.9939,-4.8169,0.6105,9.353
0.891000,7.9939,-4.4817,0.0792,9.165
0.892000,7.9939,-4.1701,-0.5285,9.032
0.892000,7.9939,-3.8784,-1.1472,8.959
0.918000,7.9939,-3.4667,-1.6141,8.861
0.920000,7.9939,-2.9732,-1.7501,8.707
0.921000,7.9939,-2.5772,-1.5838,8.547
0.922000,7.9900,-2.2940,-1.2717,8.410
0.923000,7.8179,-2.0435,-0.8867,8.129
0.924000,7.6106,-1.7671,-0.4218,7.824
0.927000,7.3620,-1.4926,0.0175,7.512
0.930000,7.0556,-1.2460,0.3669,7.174
0.935000,6.7333,-1.0297,0.5727,6.836
0.943000,6.4127,-0.8251,0.6252,6.496
0.945000,6.0880,-0.6481,0.5869,6.150
0.950000,5.7496,-0.4935,0.4628,5.789
0.954000,5.3772,-0.3636,0.3114,5.398
0.961000,4.9514,-0.2982,0.1688,4.963
0.964000,4.5246,-0.2991,0.0150,4.534
0.969000,4.1100,-0.3394,-0.1244,4.126
0.974000,3.6610,-0.8246,-0.8022,3.837
0.980000,3.3475,-0.5108,-0.2409,3.395
0.984000,2.8364,-0.1707,0.1720,2.847
0.990000,2.4765,-0.1397,0.3493,2.505
0.994000,2.2094,-0.4381,0.3312,2.277
0.999000,2.1051,-0.6441,0.4977,2.257
1.004000,2.0719,-0.6278,0.9109,2.349
1.009000,2.1720,-0.4491,1.6050,2.738
1.014000,2.2534,-0.3238,2.0631,3.072
1.018000,2.2856,-0.2484,2.3927,3.318
1.030000,2.2790,0.0254,3.0224,3.785
1.031000,2.1786,-0.0818,2.9851,3.696
1.034000,1.9711,-0.0538,3.0285,3.614
1.038000,1.9210,0.1145,3.1213,3.667
1.059000,1.8097,0.2888,3.0751,3.580
1.061000,1.5909,0.4229,2.8979,3.333
1.061000,1.4298,0.5278,2.6520,3.059
1.062000,1.3560,0.6582,2.3470,2.789
1.062000,1.3385,0.7730,1.9903,2.520
1.068000,1.3184,0.9004,1.6121,2.269
1.072000,1.2826,1.0526,1.2456,2.075
1.077000,1.2628,1.1817,0.9184,1.958
1.082000,1.2672,1.2769,0.6130,1.901
1.087000,1.2786,1.3380,0.3466,1.883
1.092000,1.3053,1.3736,0.1312,1.899
1.097000,1.3426,1.4249,-0.0077,1.958
1.102000,1.3895,1.5087,-0.0326,2.051
1.108000,1.4469,1.6312,0.0714,2.182
1.112000,1.4881,1.7653,0.2770,2.325
1.117000,1.5023,1.8817,0.5573,2.472
1.122000,1.5392,1.9047,0.8281,2.585
1.126000,1.6215,1.8905,1.0361,2.698
1.132000,1.7374,1.8991,1.2019,2.841
1.136000,1.8629,1.9250,1.3032,2.979
1.151000,1.9989,1.9298,1.3303,3.081
1.153000,2.1464,1.9045,1.2857,3.144
1.154000,2.2731,1.8605,1.1853,3.168
1.157000,2.3801,1.7951,1.0679,3.167
1.180000,2.4506,1.7238,0.9870,3.155
1.181000,2.4450,1.6593,0.9421,3.101
1.182000,2.3913,1.5895,0.9375,3.021
1.182000,2.3452,1.5126,0.9558,2.950
1.182000,2.3356,1.4388,1.0200,2.927
1.185000,2.4143,1.3500,1.1172,2.983
1.190000,2.5432,1.2408,1.2669,3.100
1.195000,2.6758,1.0999,1.5169,3.267
1.199000,2.7793,0.9305,1.8160,3.448
1.204000,2.9309,0.7410,2.1522,3.711
1.210000,3.1455,0.5454,2.4469,4.022
1.214000,3.4166,0.3545,2.6708,4.351
1.218000,3.7166,0.1636,2.8019,4.657
1.224000,4.0238,-0.0225,2.8019,4.903
1.228000,4.3078,-0.2357,2.6679,5.072
1.233000,4.5688,-0.4740,2.5121,5.235
1.238000,4.8168,-0.7125,2.3815,5.420
1.243000,5.0649,-0.9826,2.3085,5.652
1.248000,5.3545,-1.2697,2.3043,5.966
1.252000,5.7332,-1.5607,2.3580,6.393
1.263000,6.1622,-1.8667,2.4013,6.872
1.264000,6.5907,-2.2644,2.3407,7.351
1.267000,7.0568,-2.7061,2.2193,7.877
1.272000,7.4553,-3.1691,2.0440,8.355
1.296000,7.9566,-3.6677,1.7764,8.939
1.297000,7.9939,-4.1850,1.4993,9.147
1.298000,7.9939,-4.7410,1.1907,9.370
1.298000,7.9939,-5.3414,0.8757,9.654
1.299000,7.9939,-5.9696,0.6342,9.997
1.303000,7.9939,-6.6201,0.4052,10.387
1.307000,7.9939,-7.2347,0.2626,10.785
1.319000,7.9939,-7.7152,0.1593,11.111
1.320000,7.9939,-7.9948,0.0597,11.306
1.322000,7.9939,-7.9962,-0.0026,11.307
1.348000,7.9939,-7.9962,0.0365,11.307
1.349000,7.7905,-7.9962,0.1564,11.165
1.349000,7.4536,-7.9962,0.3410,10.937
1.350000,7.0749,-7.9757,0.5422,10.675
1.351000,6.6735,-7.8312,0.7470,10.316
1.351000,6.2574,-7.6493,0.9306,9.926
1.355000,5.8875,-7.4381,1.0891,9.548
1.362000,5.5493,-7.2127,1.1702,9.175
1.365000,5.1958,-6.9697,1.2007,8.776
1.369000,4.8452,-6.6919,1.1846,8.346
1.383000,4.5329,-6.4067,1.1028,7.925
1.383000,4.2726,-6.1271,0.9604,7.531
1.385000,4.0646,-5.8478,0.8081,7.167
1.389000,3.9054,-5.5699,0.6933,6.838
1.398000,3.7259,-5.3124,0.6213,6.518
1.399000,3.5355,-5.0584,0.6286,6.203
1.404000,3.3389,-4.8282,0.6579,5.907
1.409000,3.1277,-4.6414,0.7436,5.646
1.414000,2.9275,-4.4846,0.8757,5.427
1.418000,2.7170,-4.3186,1.0339,5.206
1.423000,2.5048,-4.1587,1.1782,4.996
1.428000,2.3210,-4.0659,1.2927,4.857
1.433000,2.1777,-4.0471,1.3809,4.799
1.438000,2.0475,-4.0554,1.4046,4.755
1.442000,1.8952,-4.0620,1.3606,4.684
1.447000,1.7020,-4.0464,1.2820,4.573
1.452000,1.4908,-4.0124,1.2197,4.451
