time,gFx,gFy,gFz,TgF
0.001000,0.1826,0.7456,0.5891,0.968
0.002000,0.2331,0.7493,0.5871,0.980
0.005000,0.2707,0.7513,0.6096,1.005
0.009000,0.3074,0.7427,0.6442,1.030
0.014000,0.3357,0.7386,0.6821,1.060
0.019000,0.3420,0.7351,0.7211,1.085
0.030000,0.3828,0.6536,0.6491,0.998
0.030000,0.3896,0.6521,0.6538,1.002
0.035000,0.3164,0.6912,0.6980,1.032
0.054000,0.2419,0.7151,0.6916,1.024
0.055000,0.1843,0.7369,0.6743,1.016
0.055000,0.1555,0.7361,0.6633,1.003
0.056000,0.1237,0.7115,0.6665,0.983
0.062000,0.0852,0.7012,0.6752,0.977
0.063000,0.0427,0.6924,0.6599,0.957
0.068000,0.0293,0.6905,0.5830,0.904
0.073000,0.0046,0.6792,0.5302,0.862
0.078000,-0.0145,0.6783,0.5117,0.850
0.083000,-0.0254,0.6783,0.5021,0.844
0.087000,-0.0240,0.6831,0.5136,0.855
0.092000,-0.0208,0.6756,0.5261,0.856
0.097000,-0.0079,0.6717,0.5322,0.857
0.102000,-0.0052,0.6748,0.5436,0.867
0.108000,-0.0013,0.6758,0.5546,0.874
0.112000,-0.0022,0.6753,0.5659,0.881
0.118000,-0.0025,0.6724,0.5812,0.889
0.123000,-0.0149,0.6614,0.6030,0.895
0.137000,-0.0403,0.6470,0.6210,0.898
0.138000,-0.0347,0.6287,0.6103,0.877
0.138000,0.0185,0.6057,0.5358,0.809
0.144000,-0.0948,0.6267,0.6491,0.907
0.147000,-0.1810,0.6433,0.7065,0.973
0.151000,-0.1788,0.6277,0.6877,0.948
0.173000,-0.1368,0.6050,0.6611,0.907
0.174000,-0.0716,0.6045,0.6511,0.891
0.174000,-0.0093,0.6231,0.6433,0.896
0.174000,0.0603,0.6634,0.6005,0.897
0.180000,0.0578,0.6533,0.6315,0.911
0.180000,0.0835,0.6460,0.6584,0.926
0.185000,0.1257,0.6529,0.6845,0.954
0.190000,0.1596,0.6602,0.7094,0.982
0.195000,0.1609,0.6499,0.7251,0.987
0.200000,0.1462,0.6287,0.7426,0.984
0.205000,0.1264,0.5979,0.7783,0.990
0.209000,0.1176,0.5820,0.8391,1.028
0.214000,0.1128,0.5830,0.8867,1.067
0.219000,0.0988,0.5947,0.9031,1.086
0.232000,0.0573,0.5877,0.9192,1.092
0.232000,0.0080,0.5889,0.9404,1.110
0.233000,-0.0123,0.5901,0.9253,1.097
0.238000,0.0073,0.5987,0.8652,1.052
0.244000,0.0324,0.6179,0.8139,1.022
0.248000,0.0595,0.6438,0.7595,0.997
0.253000,0.1279,0.6751,0.7026,0.983
