time,gFx,gFy,gFz,TgF
0.001000,0.2024,0.8018,0.5915,1.017
0.002000,0.2031,0.7969,0.6166,1.028
0.006000,0.2151,0.7574,0.6110,0.997
0.011000,0.2197,0.7176,0.5920,0.956
0.016000,0.1865,0.7464,0.6596,1.013
0.021000,0.1953,0.8069,0.7402,1.112
0.026000,0.1933,0.8389,0.7827,1.164
0.031000,0.1970,0.8274,0.7949,1.164
0.036000,0.2278,0.7913,0.7883,1.140
0.041000,0.2402,0.7603,0.7619,1.103
0.049000,0.2212,0.7527,0.7334,1.074
0.050000,0.1767,0.7715,0.7033,1.059
0.055000,0.1413,0.7893,0.6696,1.045
0.105000,0.1159,0.8020,0.6296,1.026
0.105000,0.1049,0.8003,0.5827,0.996
0.106000,0.1208,0.7942,0.5402,0.968
0.106000,0.1457,0.7776,0.5016,0.937
0.106000,0.1574,0.7796,0.4838,0.931
0.106000,0.1628,0.7906,0.4684,0.933
0.106000,0.1674,0.7998,0.4570,0.936
0.107000,0.1596,0.7974,0.4474,0.928
0.107000,0.1565,0.7803,0.4482,0.913
0.107000,0.1360,0.7552,0.4789,0.905
0.118000,0.0944,0.7376,0.5248,0.910
0.118000,0.0515,0.7188,0.5598,0.912
0.118000,0.0319,0.7122,0.5830,0.921
0.131000,0.0424,0.7010,0.6042,0.926
0.132000,0.0627,0.6880,0.6064,0.919
0.145000,0.0715,0.6697,0.5905,0.896
0.146000,0.0471,0.6587,0.5830,0.881
0.146000,0.0117,0.6531,0.6027,0.889
0.148000,-0.0313,0.6619,0.6232,0.910
0.154000,-0.0540,0.6787,0.6230,0.923
0.158000,-0.0447,0.6990,0.5935,0.918
0.173000,-0.0062,0.7207,0.5522,0.908
0.174000,0.0273,0.7437,0.5029,0.898
0.174000,0.0378,0.7764,0.4589,0.903
0.179000,0.0495,0.8186,0.4167,0.920
0.183000,0.0810,0.8528,0.3659,0.932
0.190000,0.1057,0.8548,0.3569,0.932
0.192000,0.1164,0.8135,0.4589,0.941
0.223000,0.0879,0.7600,0.6750,1.020
0.224000,0.0659,0.7132,0.9140,1.161
0.224000,0.0593,0.6748,1.1345,1.321
0.224000,0.1294,0.6001,1.3118,1.448
0.225000,0.2114,0.5786,1.3882,1.519
0.225000,0.2312,0.5698,1.3819,1.513
0.226000,0.2524,0.5855,1.3089,1.456
0.231000,0.3271,0.6096,1.1428,1.336
0.237000,0.3740,0.6433,0.9033,1.170
0.240000,0.3066,0.6787,0.6508,0.989
0.245000,0.0671,0.7139,0.3747,0.809
0.250000,-0.6840,0.7893,-0.5302,1.171
0.255000,-1.0331,0.7276,-1.0290,1.630
0.270000,-1.0387,0.4580,-1.0642,1.556
0.270000,-0.8917,0.3196,-1.0818,1.438
0.271000,-0.7047,0.4429,-0.8520,1.191
0.274000,-0.6090,0.6077,-0.4357,0.964
0.280000,-0.3692,0.5994,-0.0253,0.704
0.285000,-0.0999,0.5178,0.2721,0.593
0.288000,0.0031,0.4624,0.4638,0.655
0.311000,-0.0345,0.4116,0.5766,0.709
0.311000,-0.1187,0.3523,0.6613,0.759
0.311000,-0.1680,0.2878,0.6884,0.765
0.312000,-0.2120,0.2295,0.6789,0.747
0.319000,-0.2684,0.1887,0.6699,0.746
0.319000,-0.3114,0.1445,0.6054,0.696
0.323000,-0.3531,0.1252,0.5373,0.655
0.328000,-0.3499,0.1130,0.4179,0.557
0.333000,-0.2967,0.0852,0.2709,0.411
0.338000,-0.1922,0.0378,0.0883,0.215
0.343000,-0.0853,-0.0196,-0.0975,0.131
0.349000,-0.0228,-0.0689,-0.2416,0.252
0.353000,-0.0096,-0.1292,-0.3688,0.391
0.358000,-0.0606,-0.2325,-0.4677,0.526
0.363000,-0.1414,-0.3651,-0.5280,0.657
0.367000,-0.1961,-0.4984,-0.5470,0.766
0.372000,-0.2386,-0.6407,-0.5099,0.853
0.387000,-0.2689,-0.7758,-0.3532,0.894
0.387000,-0.2418,-0.8788,-0.1051,0.917
0.388000,0.0078,-1.0150,-0.0438,1.016
0.392000,0.2700,-1.2026,-0.0712,1.235
0.397000,0.3696,-1.3840,-0.0844,1.435
0.402000,0.3218,-1.5214,-0.1156,1.559
0.406000,0.2810,-1.5952,-0.1703,1.629
0.438000,0.3061,-1.6543,-0.2599,1.702
0.438000,0.3542,-1.7326,-0.3839,1.810
0.438000,0.4077,-1.8398,-0.5319,1.958
0.439000,0.5061,-1.9480,-0.7299,2.141
0.439000,0.6521,-2.0422,-0.9638,2.351
0.440000,0.8387,-2.1538,-1.1692,2.590
0.440000,0.9939,-2.2915,-1.3257,2.828
0.454000,1.1104,-2.4112,-1.3535,2.980
0.454000,1.2198,-2.4947,-1.2908,3.062
0.455000,1.3922,-2.5767,-1.2151,3.171
0.460000,1.6239,-2.6590,-1.1118,3.308
0.469000,1.8493,-2.7257,-0.9956,3.441
0.469000,2.0124,-2.7828,-0.8962,3.549
0.474000,2.1406,-2.8502,-0.8210,3.658
0.489000,2.2343,-2.9374,-0.7648,3.769
0.490000,2.2778,-3.0370,-0.7336,3.866
0.491000,2.2892,-3.1390,-0.7092,3.949
0.506000,2.3107,-3.2606,-0.6931,4.056
0.507000,2.3625,-3.3842,-0.6816,4.183
0.508000,2.4670,-3.4901,-0.6855,4.329
0.508000,2.6032,-3.5851,-0.7165,4.488
0.554000,2.7698,-3.6791,-0.7817,4.671
0.555000,2.9268,-3.7888,-0.8762,4.867
0.556000,3.0447,-3.8916,-0.9887,5.039
0.557000,3.1324,-3.9995,-1.0820,5.194
0.558000,3.2234,-4.1211,-1.1391,5.355
0.558000,3.3550,-4.2524,-1.1428,5.536
0.559000,3.5411,-4.3726,-1.1045,5.734
0.560000,3.7562,-4.4758,-1.0598,5.938
0.560000,3.9430,-4.5569,-1.0031,6.109
0.561000,4.0878,-4.6121,-0.9467,6.235
0.563000,4.2223,-4.6311,-0.8859,6.329
0.568000,4.3661,-4.6199,-0.8520,6.413
0.573000,4.5112,-4.5733,-0.8474,6.479
0.577000,4.6393,-4.5022,-0.8764,6.524
0.583000,4.7250,-4.4285,-0.9316,6.543
0.587000,4.7858,-4.3474,-0.9966,6.542
0.592000,4.8383,-4.2495,-1.0552,6.525
0.604000,4.8811,-4.1440,-1.1111,6.499
0.605000,4.8938,-4.0356,-1.1352,6.444
0.606000,4.8615,-3.9406,-1.1265,6.359
0.611000,4.7937,-3.8400,-1.0967,6.239
0.617000,4.7006,-3.7326,-1.0564,6.095
0.621000,4.6242,-3.6232,-1.0002,5.959
0.625000,4.5478,-3.4853,-0.9482,5.808
0.658000,4.4704,-3.3187,-0.9204,5.643
0.659000,4.3900,-3.1334,-0.9214,5.472
0.660000,4.3195,-2.9134,-0.9414,5.295
0.660000,4.2794,-2.6795,-1.0041,5.148
0.661000,4.2572,-2.4263,-1.0981,5.022
0.662000,4.2567,-2.1580,-1.1894,4.918
0.662000,4.2516,-1.8972,-1.2468,4.820
0.665000,4.2372,-1.6486,-1.2742,4.722
0.670000,4.1837,-1.4023,-1.2495,4.586
0.675000,4.0792,-1.1752,-1.1719,4.404
0.679000,3.9300,-0.9860,-1.0632,4.189
0.684000,3.7315,-0.8126,-0.9555,3.937
0.689000,3.5286,-0.6610,-0.8491,3.689
0.694000,3.3536,-0.5309,-0.7502,3.477
0.699000,3.2198,-0.4278,-0.6381,3.310
0.705000,3.1118,-0.3355,-0.5236,3.173
0.709000,3.0117,-0.2352,-0.4067,3.048
0.727000,2.9299,-0.1373,-0.2772,2.946
0.728000,2.8464,-0.0667,-0.1337,2.850
0.729000,2.7715,-0.0743,0.0543,2.773
0.729000,2.6660,-0.1255,0.3454,2.691
0.733000,2.5014,-0.1141,0.7290,2.608
0.738000,2.3320,-0.0630,1.1396,2.596
0.743000,2.1315,-0.0122,1.4976,2.605
0.749000,1.8393,0.0410,1.7220,2.520
0.752000,1.4894,0.1296,1.7261,2.284
0.757000,1.2078,0.2400,1.4402,1.895
0.795000,1.0001,0.3511,0.9651,1.433
0.796000,0.8335,0.4473,0.3559,1.011
0.796000,0.7110,0.5305,-0.2787,0.930
0.796000,0.6345,0.5884,-0.8549,1.216
0.797000,0.5706,0.6160,-1.2808,1.531
0.797000,0.4524,0.6695,-1.4607,1.669
0.798000,0.3054,0.7871,-1.3606,1.601
0.798000,0.1674,0.9388,-1.0390,1.410
0.801000,0.1130,1.0289,-0.6147,1.204
0.806000,0.1811,1.0176,-0.1537,1.045
0.811000,0.3738,0.9429,0.2963,1.057
0.816000,0.5991,0.8667,0.7658,1.303
0.821000,0.8277,0.8230,1.2302,1.696
0.825000,1.0335,0.8150,1.6504,2.111
0.843000,1.2784,0.8265,1.9466,2.471
