time,gFx,gFy,gFz,TgF
0.002000,0.2107,0.5481,0.7153,0.925
0.002000,0.2004,0.5454,0.6909,0.903
0.010000,0.1843,0.5408,0.6757,0.885
0.010000,0.1775,0.5396,0.6721,0.880
0.016000,0.1784,0.5344,0.6787,0.882
0.024000,0.1811,0.5249,0.6972,0.891
0.024000,0.1838,0.5149,0.7114,0.897
0.029000,0.1862,0.5176,0.7302,0.914
0.038000,0.1946,0.5164,0.7458,0.928
0.038000,0.1955,0.5095,0.7509,0.928
0.043000,0.1921,0.5061,0.7595,0.933
0.050000,0.1845,0.5012,0.7668,0.934
0.053000,0.1728,0.4797,0.7602,0.915
0.058000,0.1535,0.4976,0.7846,0.942
0.064000,0.1716,0.5149,0.7985,0.966
0.068000,0.1616,0.5210,0.7934,0.963
0.073000,0.1760,0.5076,0.7863,0.952
0.078000,0.2175,0.5044,0.7700,0.946
0.083000,0.2309,0.5061,0.7522,0.936
0.088000,0.2280,0.5173,0.7360,0.928
0.093000,0.2280,0.5237,0.7207,0.920
0.106000,0.2331,0.5081,0.6838,0.883
0.106000,0.2539,0.4817,0.6430,0.843
0.107000,0.2419,0.4922,0.6767,0.871
0.113000,0.2507,0.5203,0.6684,0.883
0.154000,0.2109,0.5342,0.6437,0.863
0.154000,0.2016,0.5213,0.6039,0.823
0.154000,0.2148,0.5051,0.5639,0.787
0.155000,0.2131,0.4946,0.5273,0.754
0.155000,0.1931,0.4956,0.4892,0.723
0.155000,0.1760,0.4985,0.4460,0.692
0.156000,0.1718,0.5037,0.3984,0.665
0.156000,0.1823,0.5022,0.3466,0.637
0.156000,0.1936,0.4961,0.2924,0.608
0.161000,0.1999,0.4927,0.2397,0.583
0.173000,0.2068,0.4927,0.1916,0.568
0.174000,0.2109,0.4929,0.1408,0.554
0.175000,0.2112,0.4888,0.0963,0.541
0.189000,0.2204,0.4754,0.0499,0.526
0.190000,0.2292,0.4648,0.0089,0.518
0.190000,0.2395,0.4534,-0.0280,0.513
0.195000,0.2600,0.4421,-0.0634,0.517
0.206000,0.2810,0.4275,-0.0909,0.520
0.206000,0.2776,0.4126,-0.1029,0.508
0.210000,0.2610,0.4031,-0.0853,0.488
0.228000,0.2385,0.3923,-0.0511,0.462
0.229000,0.2278,0.3872,-0.0079,0.449
0.229000,0.2329,0.3799,0.0358,0.447
0.230000,0.2422,0.3586,0.0853,0.441
0.275000,0.2553,0.3425,0.1261,0.445
0.275000,0.2737,0.3289,0.1488,0.453
0.276000,0.2947,0.3196,0.1454,0.458
0.276000,0.3325,0.3157,0.1310,0.477
0.276000,0.4031,0.3076,0.1215,0.521
0.276000,0.4868,0.2927,0.1110,0.579
0.277000,0.5701,0.2764,0.1054,0.642
0.277000,0.6284,0.2610,0.1051,0.689
0.277000,0.6607,0.2634,0.1120,0.720
0.288000,0.6687,0.2651,0.1149,0.728
0.288000,0.6616,0.2688,0.1181,0.724
0.289000,0.6538,0.2678,0.1376,0.720
0.293000,0.6590,0.2461,0.1762,0.725
0.301000,0.6345,0.1584,0.3180,0.727
0.303000,0.5249,0.0390,0.6550,0.840
0.307000,0.4631,-0.0044,0.5495,0.719
0.312000,0.3701,-0.0015,0.4592,0.590
0.318000,0.3313,-0.0015,0.4470,0.556
0.323000,0.3081,-0.0122,0.4633,0.557
0.327000,0.3193,-0.0354,0.4208,0.529
0.340000,0.3486,-0.0506,0.3317,0.484
0.341000,0.4275,-0.0594,0.2023,0.477
0.341000,0.5418,-0.0574,0.0685,0.549
0.346000,0.6765,-0.0613,-0.0211,0.680
0.351000,0.8477,-0.0611,-0.0358,0.851
0.356000,1.0179,-0.0308,0.0609,1.020
0.360000,1.0066,-0.0066,0.1884,1.024
0.386000,0.8733,0.0044,0.2973,0.923
0.387000,0.7322,-0.0022,0.4093,0.839
0.387000,0.7908,-0.0362,0.5390,0.958
0.387000,0.9644,-0.1004,0.6003,1.140
0.388000,1.1905,-0.1683,0.5539,1.324
0.390000,1.2498,-0.1561,0.5451,1.372
0.395000,1.2906,-0.0855,0.4929,1.384
0.400000,1.3538,-0.0054,0.4267,1.420
0.405000,1.3368,-0.0086,0.3468,1.381
0.410000,1.3272,-0.0691,0.2633,1.355
0.424000,1.2850,-0.1683,0.2130,1.313
0.425000,1.1451,-0.2552,0.1735,1.186
0.425000,1.0030,-0.2679,0.2021,1.058
0.429000,0.9270,-0.2239,0.2326,0.982
0.435000,0.9854,-0.2039,0.1547,1.018
0.439000,1.0782,-0.2347,-0.0248,1.104
0.443000,1.1802,-0.2791,-0.2262,1.234
0.476000,1.3055,-0.3143,-0.3771,1.395
0.477000,1.4093,-0.3157,-0.4567,1.515
0.478000,1.4510,-0.3087,-0.5094,1.569
0.478000,1.4532,-0.3248,-0.5417,1.585
0.479000,1.4549,-0.3453,-0.5436,1.591
0.479000,1.4576,-0.3846,-0.5102,1.591
0.479000,1.4669,-0.4349,-0.4704,1.601
0.485000,1.4759,-0.4942,-0.4272,1.614
0.488000,1.4898,-0.5628,-0.3813,1.638
0.493000,1.4947,-0.6263,-0.3209,1.652
0.498000,1.4964,-0.6949,-0.2558,1.670
0.502000,1.4964,-0.7650,-0.1842,1.691
0.508000,1.4828,-0.8383,-0.1224,1.708
0.512000,1.4464,-0.9078,-0.0592,1.709
0.518000,1.4034,-0.9652,0.0035,1.703
0.522000,1.3468,-1.0092,0.0658,1.684
0.527000,1.2867,-1.0404,0.1105,1.658
0.545000,1.2186,-1.0832,0.1244,1.635
0.545000,1.1368,-1.1249,0.0866,1.602
0.546000,1.0540,-1.1606,0.0070,1.568
0.547000,0.9830,-1.1830,-0.0809,1.540
0.551000,0.9441,-1.2038,-0.1503,1.537
0.556000,0.9532,-1.2294,-0.1835,1.566
0.560000,1.0001,-1.2729,-0.1752,1.628
0.591000,1.0867,-1.3300,-0.1517,1.724
0.592000,1.1790,-1.3898,-0.1415,1.828
0.593000,1.2391,-1.4489,-0.1571,1.913
0.594000,1.3031,-1.5063,-0.2028,2.002
0.594000,1.3568,-1.5656,-0.2711,2.089
0.595000,1.3961,-1.6284,-0.3317,2.170
0.596000,1.4234,-1.6750,-0.3529,2.226
0.603000,1.4647,-1.7043,-0.3314,2.272
0.605000,1.5304,-1.7229,-0.2875,2.322
0.610000,1.6178,-1.7427,-0.2365,2.390
0.614000,1.7128,-1.7575,-0.1828,2.461
0.619000,1.7992,-1.7658,-0.1276,2.524
0.625000,1.8942,-1.7658,-0.0741,2.591
0.631000,1.9972,-1.7702,-0.0314,2.669
0.641000,2.0859,-1.7746,-0.0030,2.739
0.642000,2.1623,-1.7583,0.0170,2.787
0.644000,2.2560,-1.7175,0.0206,2.835
0.650000,2.4133,-1.6884,-0.0233,2.945
0.655000,2.4643,-1.6801,-0.0709,2.983
0.658000,2.5061,-1.6174,-0.1249,2.985
0.663000,2.5542,-1.5803,-0.1793,3.009
0.673000,2.5610,-1.5600,-0.2179,3.007
0.674000,2.5395,-1.5109,-0.2472,2.965
0.678000,2.5129,-1.4445,-0.2804,2.912
0.684000,2.4821,-1.3803,-0.3019,2.856
0.687000,2.4502,-1.3073,-0.3349,2.797
0.692000,2.3901,-1.2091,-0.3913,2.707
0.697000,2.2890,-1.0707,-0.4640,2.569
0.702000,2.1777,-0.8785,-0.5339,2.408
0.707000,2.1054,-0.6510,-0.6176,2.289
0.712000,2.0932,-0.4220,-0.7260,2.255
0.717000,2.1000,-0.2010,-0.8264,2.266
0.722000,2.1137,-0.0064,-0.8552,2.280
0.727000,2.2045,0.2092,-0.8115,2.358
0.732000,2.3361,0.4544,-0.7927,2.508
0.736000,2.5022,0.7127,-0.7883,2.718
0.741000,2.7317,1.0084,-0.7275,3.001
0.746000,3.0071,1.3050,-0.6039,3.333
0.759000,3.2727,1.5983,-0.4570,3.671
0.761000,3.4744,1.8954,-0.3534,3.974
0.761000,3.5894,2.1686,-0.3383,4.207
0.766000,3.6004,2.3808,-0.4142,4.336
0.771000,3.5430,2.5136,-0.5478,4.379
0.775000,3.4542,2.5505,-0.6860,4.348
0.780000,3.3733,2.5122,-0.8029,4.282
0.801000,3.3196,2.4235,-0.8903,4.205
0.802000,3.2762,2.3061,-0.9463,4.117
0.803000,3.2159,2.1855,-0.9926,4.013
0.803000,3.1712,2.0690,-1.0195,3.921
0.805000,3.1468,1.9391,-1.0031,3.830
0.810000,3.1565,1.7909,-0.9392,3.749
0.815000,3.2022,1.6371,-0.8156,3.688
0.819000,3.2698,1.4950,-0.6332,3.651
0.825000,3.3555,1.3517,-0.4071,3.640
0.829000,3.4742,1.1890,-0.1925,3.677
0.834000,3.6170,0.9954,-0.0421,3.752
0.839000,3.7269,0.7749,0.0446,3.807
0.844000,3.7896,0.5591,0.0973,3.832
0.850000,3.7874,0.3589,0.1354,3.807
0.853000,3.7105,0.1772,0.1647,3.718
0.859000,3.6116,-0.0003,0.1586,3.615
0.864000,3.5538,-0.1856,0.0990,3.560
0.868000,3.5599,-0.3814,-0.0282,3.580
0.874000,3.5782,-0.5584,-0.2035,3.627
0.878000,3.5809,-0.6984,-0.4145,3.672
0.889000,3.6099,-0.8048,-0.6516,3.756
0.891000,3.6898,-0.9091,-0.9189,3.910
0.893000,3.7984,-1.0312,-1.2048,4.116
0.897000,3.8907,-1.1505,-1.4404,4.305
0.918000,3.9484,-1.2433,-1.5821,4.432
0.919000,3.9872,-1.3293,-1.6604,4.519
0.919000,4.0526,-1.4213,-1.6792,4.611
0.920000,4.1454,-1.5351,-1.6612,4.722
0.922000,4.2184,-1.6526,-1.6104,4.808
0.926000,4.2526,-1.7615,-1.5342,4.852
0.931000,4.2431,-1.8513,-1.4380,4.848
0.936000,4.2106,-1.9377,-1.3203,4.819
0.941000,4.1603,-2.0129,-1.1565,4.764
0.946000,4.0848,-2.0811,-0.9638,4.685
0.952000,4.0074,-2.1287,-0.7661,4.602
0.956000,3.9552,-2.1731,-0.5710,4.549
0.961000,3.9208,-2.2198,-0.3744,4.521
0.966000,3.8778,-2.2349,-0.1923,4.480
0.973000,3.8397,-2.2386,-0.0709,4.445
0.979000,3.8260,-2.2532,0.0016,4.440
0.980000,3.7984,-2.2940,0.0219,4.437
0.995000,3.7401,-2.3746,-0.0277,4.430
0.996000,3.6170,-2.4852,-0.1388,4.391
0.996000,3.4507,-2.5858,-0.2555,4.320
1.004000,3.2386,-2.6717,-0.3129,4.210
1.005000,2.9827,-2.7586,-0.2924,4.073
1.009000,2.6882,-2.8810,-0.2318,3.947
1.014000,2.2580,-3.0116,-0.1361,3.767
1.019000,1.6713,-3.0819,-0.0301,3.506
1.024000,1.0604,-3.1285,0.0180,3.303
1.029000,0.6211,-3.2433,-0.0179,3.302
1.034000,0.2673,-3.4213,-0.0895,3.433
1.039000,-0.0618,-3.5439,-0.0575,3.545
1.044000,-0.3548,-3.5793,0.1432,3.600
1.049000,-0.5311,-3.5761,0.4208,3.640
